vi_caption,category_code,en_caption,report_type
A- TÀI SẢN NGẮN HẠN,BS_100,A. CURRENT ASSETS,balance_sheet
I. Tiền và các khoản tương đương tiền,BS_110,I. Cash and cash equivalents,balance_sheet
1. Tiền,BS_111,Cash,balance_sheet
2. Các khoản tương đương tiền,BS_112,Cash equivalents,balance_sheet
II. Các khoản đầu tư tài chính ngắn hạn,BS_120,II. Short-term financial investments,balance_sheet
1. Chứng khoán kinh doanh,BS_121,Trading securities,balance_sheet
2. Dự phòng giảm giá chứng khoán kinh doanh,BS_122,Provision for decline in value of trading securities,balance_sheet
3. Đầu tư nắm giữ đến ngày đáo hạn,BS_123,Held-to-maturity investments,balance_sheet
III. Các khoản phải thu ngắn hạn,BS_130,III. Short-term receivables,balance_sheet
1. Phải thu ngắn hạn của khách hàng,BS_131,Trade receivables,balance_sheet
2. Trả trước cho người bán ngắn hạn,BS_132,Prepayments to suppliers (short-term),balance_sheet
3. Phải thu nội bộ ngắn hạn,BS_133,Intra-group receivables (short-term),balance_sheet
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,BS_134,Receivables under construction contract progress,balance_sheet
5. Phải thu về cho vay ngắn hạn,BS_135,Short-term loan receivables,balance_sheet
6. Phải thu ngắn hạn khác,BS_136,Other short-term receivables,balance_sheet
7. Dự phòng phải thu ngắn hạn khó đòi,BS_137,Provision for doubtful short-term receivables,balance_sheet
8. Tài sản Thiếu chờ xử lý,BS_139,Missing assets pending resolution,balance_sheet
IV. Hàng tồn kho,BS_140,IV. Inventories,balance_sheet
1. Hàng tồn kho,BS_141,Inventories,balance_sheet
2. Dự phòng giảm giá hàng tồn kho,BS_149,Provision for decline in value of inventories,balance_sheet
V.Tài sản ngắn hạn khác,BS_150,V. Other current assets,balance_sheet
1. Chi phí trả trước ngắn hạn,BS_151,Short-term prepaid expenses,balance_sheet
2. Thuế GTGT được khấu trừ,BS_152,Deductible VAT,balance_sheet
3. Thuế và các khoản khác phải thu Nhà nước,BS_153,Taxes and other receivables from the State,balance_sheet
4. Giao dịch mua bán lại trái phiếu Chính phủ,BS_154,Government bond repurchase transactions,balance_sheet
5. Tài sản ngắn hạn khác,BS_155,Other current assets,balance_sheet
B. TÀI SẢN DÀI HẠN,BS_200,B. NON-CURRENT ASSETS,balance_sheet
I. Các khoản phải thu dài hạn,BS_210,I. Long-term receivables,balance_sheet
1. Phải thu dài hạn của khách hàng,BS_211,Long-term trade receivables,balance_sheet
2. Trả trước cho người bán dài hạn,BS_212,Long-term prepayments to suppliers,balance_sheet
3. Vốn kinh doanh ở đơn vị trực thuộc,BS_213,Business capital at subsidiaries,balance_sheet
4. Phải thu nội bộ dài hạn,BS_214,Long-term intra-group receivables,balance_sheet
5. Phải thu về cho vay dài hạn,BS_215,Long-term loan receivables,balance_sheet
6. Phải thu dài hạn khác,BS_216,Other long-term receivables,balance_sheet
7. Dự phòng phải thu dài hạn khó đòi,BS_219,Provision for doubtful long-term receivables,balance_sheet
II.Tài sản cố định,BS_220,II. Fixed assets,balance_sheet
1. Tài sản cố định hữu hình,BS_221,Tangible fixed assets,balance_sheet
- Nguyên giá,BS_222,Historical cost,balance_sheet
- Giá trị hao mòn lũy kế,BS_223,Accumulated depreciation,balance_sheet
2. Tài sản cố định thuê tài chính,BS_224,Finance-leased fixed assets,balance_sheet
- Nguyên giá,BS_225,Historical cost,balance_sheet
- Giá trị hao mòn lũy kế,BS_226,Accumulated depreciation,balance_sheet
3. Tài sản cố định vô hình,BS_227,Intangible fixed assets,balance_sheet
- Nguyên giá,BS_228,Historical cost,balance_sheet
- Giá trị hao mòn lũy kế,BS_229,Accumulated depreciation,balance_sheet
III. Bất động sản đầu tư,BS_230,III. Investment properties,balance_sheet
- Nguyên giá,BS_231,Historical cost,balance_sheet
- Giá trị hao mòn lũy kế,BS_232,Accumulated depreciation,balance_sheet
IV. Tài sản dở dang dài hạn,BS_240,IV. Long-term work in progress,balance_sheet
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",BS_241,Long-term unfinished production and business costs,balance_sheet
