category_code,en_caption,vi_caption
,,TÀI SẢN
BS_100,A. CURRENT ASSETS,A. TÀI SẢN NGẮN HẠN
BS_110,I. Financial Assets,I. Tài sản tài chính
BS_111,1. Cash and cash equivalents,1. Tiền và các khoản tương đương tiền
BS_111.1,1.1. Cash,1.1. Tiền
BS_111.2,1.2. Cash equivalents,1.2. Các khoản tương đương tiền
BS_112,2. Financial assets at fair value through profit or loss (FVTPL),2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL)
BS_113,3. Held-to-maturity investments (HTM),3. Các khoản đầu tư giữ đến ngày đáo hạn (HTM)
BS_114,4. Loans,4. Các khoản cho vay
BS_115,5. Available-for-sale financial assets (AFS),5. Các tài sản tài chính sẵn sàng để bán (AFS)
BS_116,6. Provision for impairment of financial assets and collateral,6. Dự phòng suy giảm giá trị các tài sản tài chính và tài sản thế chấp
BS_117,7. Receivables,7. Các khoản phải thu
BS_117.1,7.1. Receivables from sale of financial assets,7.1. Phải thu bán các tài sản tài chính
BS_117.2,7.2. Dividends and interest receivables from financial assets,"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính"
,7.2.1. Receivables for dividends and interest due,"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận"
BS_117.4,7.2.2. Accrued dividends and interest not yet due,"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận"
BS_118,Advances to suppliers,Trả trước cho người bán
BS_119,8. Receivables from securities services provided,9. Phải thu các dịch vụ CTCK cung cấp
BS_120,9. Internal receivables,10. Phải thu nội bộ
BS_121,10. Receivables from securities transaction errors,11. Phải thu về lỗi giao dịch chứng khoán
BS_122,11. Other receivables,12. Các khoản phải thu khác
BS_129,12. Provision for impairment of receivables (*),13. Dự phòng suy giảm giá trị các khoản phải thu (*)
BS_130,II. Other Current Assets,II.Tài sản ngắn hạn khác
BS_131,1. Advances,1. Tạm ứng
BS_132,"2. Office supplies, tools, and instruments","2. Vật tư văn phòng, công cụ, dụng cụ"
BS_133,3. Short-term prepaid expenses,3. Chi phí trả trước ngắn hạn
BS_134,4. Short-term deposits and collateral,"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn"
BS_135,5. Deductible value-added tax (VAT),5. Thuế giá trị gia tăng được khấu trừ
BS_136,6. Taxes and other receivables from the government,6. Thuế và các khoản khác phải thu Nhà nước
BS_137,7. Other current assets,5. Tài sản ngắn hạn khác
,,Giao dịch mua bán lại trái phiếu Chính Phủ
,,6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác
BS_200,B. NON-CURRENT ASSETS,B.TÀI SẢN DÀI HẠN
BS_210,I. Long-term Financial Assets,I. Tài sản tài chính dài hạn
BS_211,1. Long-term receivables,1. Các khoản phải thu dài hạn
BS_212,2. Investments,2. Các khoản đầu tư
BS_212.1,2.1. Held-to-maturity investments (HTM),2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn
BS_212.2,2.2. Investments in subsidiaries,2.2. Đầu tư vào công ty con
BS_212.3,2.3. Investments in joint ventures and associates,"2.3. Đầu tư vào công ty liên doanh, liên kết"
BS_212.4,2.4. Other long-term investments,2.4. Đầu tư dài hạn khác
,Provision for impairment of receivables,Dự phòng suy giảm giá trị các khoản phải thu
BS_220,II. Fixed Assets,II. Tài sản cố định
BS_221,1. Tangible fixed assets,1. Tài sản cố định hữu hình
BS_222,Original cost,- Nguyên giá
BS_223a,Accumulated depreciation,- Giá trị hao mòn lũy kế
,,Đánh giá TSCĐHH theo giá trị hợp lý
,,2. Tài sản cố định thuê tài chính
,,- Nguyên giá
,,- Giá trị hao mòn lũy kế
,,Đánh giá TSCĐHH theo giá trị hợp lý
BS_227,3. Intangible fixed assets,3. Tài sản cố định vô hình
BS_228,Original cost,- Nguyên giá
BS_229a,Accumulated depreciation,- Giá trị hao mòn lũy kế
,Fair value adjustment of intangible assets,- Đánh giá TSCĐVH theo giá trị hợp lý
BS_230,III. Investment Properties,III. Bất động sản đầu tư
BS_231,Original cost,- Nguyên giá
BS_2321,Accumulated depreciation,- Giá trị hao mòn lũy kế
,Fair value adjustment of investment properties,- Đánh giá TSCĐVH theo giá trị hợp lý
BS_240,IV. Construction in Progress,IV. Chi phí xây dựng cơ bản dở dang
BS_250,V. Other Long-term Assets,V. Tài sản dài hạn khác
BS_251,1. Long-term deposits and collateral,"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn"
BS_252,2. Long-term prepaid expenses,2. Chi phí trả trước dài hạn
BS_253,3. Deferred tax assets,3. Tài sản thuế thu nhập hoãn lại
BS_254,4. Contributions to the Clearing Support Fund,4. Tiền nộp Quỹ Hỗ trợ thanh toán
BS_255,5. Other long-term assets,5. Tài sản dài hạn khác
,VI. Provision for impairment of long-term assets,VI. Dự phòng suy giảm giá trị tài sản dài hạn
BS_270,TOTAL ASSETS,TỔNG CỘNG TÀI SẢN
BS_300,C. LIABILITIES,C. NỢ PHẢI TRẢ
BS_310,I. Current Liabilities,I. Nợ phải trả ngắn hạn
BS_311,1. Short-term borrowings and financial lease liabilities,1. Vay và nợ thuê tài sản tài chính ngắn hạn
BS_312,1.1. Short-term borrowings,1.1. Vay ngắn hạn
BS_313,1.2. Short-term financial lease liabilities,1.2. Nợ thuê tài sản tài chính ngắn hạn
BS_314,2. Short-term financial borrowings,2. Vay tài sản tài chính ngắn hạn
BS_315,3. Convertible bonds - short term,3. Trái phiếu chuyển đổi ngắn hạn
BS_316,4. Short-term issued bonds,4. Trái phiếu phát hành ngắn hạn
BS_317,5. Borrowings from the Clearing Support Fund,5. Vay Quỹ Hỗ trợ thanh toán
BS_318,6. Payables from securities transactions,6. Phải trả hoạt động giao dịch chứng khoán
BS_319,7. Payables from errors in financial asset transactions,7. Phải trả về lỗi giao dịch các tài sản tài chính
BS_320,8. Payables to short-term suppliers,8. Phải trả người bán ngắn hạn
BS_321,9. Advances from customers,9. Người mua trả tiền trước
BS_322,10. Taxes and amounts payable to the government,10. Thuế và các khoản phải nộp nhà nước
BS_323,11. Payables to employees,11. Phải trả người lao động
BS_324,12. Employee welfare fund contributions,12. Các khoản trích nộp phúc lợi nhân viên
BS_325,13. Short-term accrued expenses,13. Chi phí phải trả ngắn hạn
BS_326,14. Internal payables - short term,14. Phải trả nội bộ ngắn hạn
BS_327,15. Short-term deferred revenue,15. Doanh thu chưa thực hiện ngắn hạn
BS_328,16. Short-term deposits and collateral received,"16. Nhận ký quỹ, ký cược ngắn hạn"
BS_329,17. Other short-term payables and liabilities,"17.Các khoản phải trả, phải nộp khác ngắn hạn"
BS_330,18. Short-term provisions,18. Dự phòng phải trả ngắn hạn
BS_331,19. Employee welfare fund,12. Quỹ khen thưởng phúc lợi
