vi_caption,category_code,en_caption,report_type
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,CF_001,Interest income and similar income received,cash_flow_statement
2. Chi phí lãi và các chi phí tương tự đã trả,CF_002,Interest expenses and similar charges paid,cash_flow_statement
3. Thu nhập từ hoạt động dịch vụ nhận được,CF_003,Income from service activities received,cash_flow_statement
"4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh(ngoại tệ,vàng bạc,chứng khoán)",CF_004,"Difference between actual receipts/payments from business activities (foreign exchange, gold, securities)",cash_flow_statement
5. Thu nhập khác,CF_005,Other income,cash_flow_statement
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",CF_006,Cash received from debts that have been written off or covered by risk provisions,cash_flow_statement
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ(*)",CF_007,"Payments to employees and for administrative, public services",cash_flow_statement
8. Tiền thuế thu nhập thực nộp trong kỳ(*),CF_008,Corporate income tax actually paid during the period,cash_flow_statement
B. Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,CF_009,Net cash flow from operating activities before changes in assets and working capital,cash_flow_statement
9. (Tăng)/Giảm các khoản tiền gửi và cho vay các TCTD khác,CF_010,(Increase)/Decrease in deposits and loans to other credit institutions,cash_flow_statement
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,CF_011,(Increase)/Decrease in securities trading,cash_flow_statement
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,CF_012,(Increase)/Decrease in derivative financial instruments and other financial assets,cash_flow_statement
12. (Tăng)/Giảm các khoản cho vay khách hàng,CF_013,(Increase)/Decrease in loans to customers,cash_flow_statement
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,CF_014,Decrease in provisions for covering losses,cash_flow_statement
14. (Tăng)/Giảm khác về tài sản hoạt động,CF_015,(Increase)/Decrease in other operating assets,cash_flow_statement
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,CF_016,Increase/(Decrease) in government and central bank debts,cash_flow_statement
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",CF_017,Increase/(Decrease) in deposits and loans from credit institutions,cash_flow_statement
