stock_code,category_code,year,quarter,data
BID,IS_001,2020,0,100687502
BID,IS_001,2021,0,101007908
BID,IS_001,2022,0,121110719
BID,IS_001,2023,0,152761316
BID,IS_001,2016,0,62957295
BID,IS_001,2017,0,78628515
BID,IS_001,2018,0,90074018
BID,IS_001,2019,0,100747225
BID,IS_010,2020,0,7992789
BID,IS_010,2021,0,8957444
BID,IS_010,2022,0,6526421
BID,IS_010,2023,0,6542525
BID,IS_010,2016,0,3729795
BID,IS_010,2017,0,4594254
BID,IS_010,2018,0,5337309
BID,IS_010,2019,0,6517869
BID,IS_011,2020,0,2900221
BID,IS_011,2021,0,2778592
BID,IS_011,2022,0,2316094
BID,IS_011,2023,0,4474726
BID,IS_011,2016,0,1989395
BID,IS_011,2017,0,1315256
BID,IS_011,2018,0,1522134
BID,IS_011,2019,0,1156695
BID,IS_012,2020,0,5092568
BID,IS_012,2021,0,6178852
BID,IS_012,2022,0,4210327
BID,IS_012,2023,0,2067799
BID,IS_012,2016,0,1740400
BID,IS_012,2017,0,3278998
BID,IS_012,2018,0,3815175
BID,IS_012,2019,0,5361174
BID,IS_013,2020,0,154267
BID,IS_013,2021,0,187622
BID,IS_013,2022,0,290952
BID,IS_013,2023,0,355275
BID,IS_013,2016,0,1214488
BID,IS_013,2017,0,335537
BID,IS_013,2018,0,242006
BID,IS_013,2019,0,214485
BID,IS_014,2020,0,0
BID,IS_014,2021,0,0
BID,IS_014,2022,0,0
BID,IS_014,2023,0,25080598
BID,IS_014,2016,0,13521879
BID,IS_014,2017,0,0
BID,IS_014,2018,0,0
BID,IS_014,2019,0,0
BID,IS_015,2020,0,32344184
BID,IS_015,2021,0,43028568
BID,IS_015,2022,0,47024970
BID,IS_015,2023,0,47932419
BID,IS_015,2016,0,17008331
BID,IS_015,2017,0,23512483
BID,IS_015,2018,0,28366140
BID,IS_015,2019,0,30864125
BID,IS_016,2020,0,23317941
BID,IS_016,2021,0,29480917
BID,IS_016,2022,0,24015485
BID,IS_016,2023,0,20343515
BID,IS_016,2016,0,9273704
BID,IS_016,2017,0,14847306
BID,IS_016,2018,0,18893635
BID,IS_016,2019,0,20131916
BID,IS_017,2020,0,9026243
BID,IS_017,2021,0,13547651
BID,IS_017,2022,0,23009485
BID,IS_017,2023,0,27588904
BID,IS_017,2016,0,7734627
BID,IS_017,2017,0,8665177
BID,IS_017,2018,0,9472505
BID,IS_017,2019,0,10732209
BID,IS_018,2020,0,1799378
BID,IS_018,2021,0,2707403
BID,IS_018,2022,0,4604520
BID,IS_018,2023,0,5615711
BID,IS_018,2016,0,1497640
BID,IS_018,2017,0,1757940
BID,IS_018,2018,0,1926628
BID,IS_018,2019,0,2162657
BID,IS_019,2020,0,3300
BID,IS_019,2021,0,-1023
BID,IS_019,2022,0,-15049
BID,IS_019,2023,0,-3948
BID,IS_019,2016,0,-11013
BID,IS_019,2017,0,-38349
BID,IS_019,2018,0,4044
BID,IS_019,2019,0,21795
BID,IS_002,2020,0,64890703
BID,IS_002,2021,0,54184600
BID,IS_002,2022,0,65041035
BID,IS_002,2023,0,96625750
BID,IS_002,2016,0,39219263
BID,IS_002,2017,0,47673184
BID,IS_002,2018,0,55118154
BID,IS_002,2019,0,64769417
BID,IS_020,2020,0,0
BID,IS_020,2021,0,0
BID,IS_020,2022,0,0
BID,IS_020,2023,0,5611763
BID,IS_020,2016,0,0
BID,IS_020,2017,0,0
BID,IS_020,2018,0,0
BID,IS_020,2019,0,0
BID,IS_021,2020,0,7223565
BID,IS_021,2021,0,10841271
BID,IS_021,2022,0,18420014
BID,IS_021,2023,0,21977141
BID,IS_021,2016,0,6248000
BID,IS_021,2017,0,6945586
BID,IS_021,2018,0,7541833
BID,IS_021,2019,0,8547757
BID,IS_022,2020,0,226943
BID,IS_022,2021,0,301133
BID,IS_022,2022,0,261512
BID,IS_022,2023,0,472223
BID,IS_022,2016,0,88926
BID,IS_022,2017,0,158876
BID,IS_022,2018,0,183964
BID,IS_022,2019,0,179266
BID,IS_023,2020,0,1447
BID,IS_023,2021,0,1729
BID,IS_023,2022,0,3125
BID,IS_023,2023,0,3314
BID,IS_023,2016,0,1
BID,IS_023,2017,0,1499
BID,IS_023,2018,0,1634
BID,IS_023,2019,0,2
BID,IS_003,2020,0,35796799
BID,IS_003,2021,0,46823308
BID,IS_003,2022,0,56069684
BID,IS_003,2023,0,56135566
BID,IS_003,2016,0,23738032
BID,IS_003,2017,0,30955331
BID,IS_003,2018,0,34955864
BID,IS_003,2019,0,35977808
BID,IS_004,2020,0,8618090
BID,IS_004,2021,0,10370092
BID,IS_004,2022,0,10344181
BID,IS_004,2023,0,11893400
BID,IS_004,2016,0,4500700
BID,IS_004,2017,0,5611617
BID,IS_004,2018,0,6801845
BID,IS_004,2019,0,7871837
BID,IS_005,2020,0,3351709
BID,IS_005,2021,0,3755811
BID,IS_005,2022,0,4696116
BID,IS_005,2023,0,5323530
BID,IS_005,2016,0,1996311
BID,IS_005,2017,0,2645847
BID,IS_005,2018,0,3251046
BID,IS_005,2019,0,3605506
BID,IS_006,2020,0,5266381
BID,IS_006,2021,0,6614281
BID,IS_006,2022,0,5648065
BID,IS_006,2023,0,6569870
BID,IS_006,2016,0,2504389
BID,IS_006,2017,0,2965770
BID,IS_006,2018,0,3550799
BID,IS_006,2019,0,4266331
BID,IS_007,2020,0,1732324
BID,IS_007,2021,0,1896154
BID,IS_007,2022,0,3136613
BID,IS_007,2023,0,4707371
BID,IS_007,2016,0,534446
BID,IS_007,2017,0,668128
BID,IS_007,2018,0,1039685
BID,IS_007,2019,0,1494696
BID,IS_008,2020,0,478668
BID,IS_008,2021,0,586241
BID,IS_008,2022,0,-31664
BID,IS_008,2023,0,305396
BID,IS_008,2016,0,433668
BID,IS_008,2017,0,481615
BID,IS_008,2018,0,645456
BID,IS_008,2019,0,325524
BID,IS_009,2020,0,1516137
BID,IS_009,2021,0,207431
BID,IS_009,2022,0,258467
BID,IS_009,2023,0,2871740
