stock_code,category_code,year,quarter,data,date_added
BID,IS_001,2020,0,100687502.0,2020-12-30
BID,IS_001,2021,0,101007908.0,2021-12-30
BID,IS_001,2022,0,121110719.0,2022-12-30
BID,IS_001,2023,0,152761316.0,2023-12-30
BID,IS_001,2016,0,62957295.0,2016-12-30
BID,IS_001,2017,0,78628515.0,2017-12-30
BID,IS_001,2018,0,90074018.0,2018-12-30
BID,IS_001,2019,0,100747225.0,2019-12-30
BID,IS_010,2020,0,7992789.0,2020-12-30
BID,IS_010,2021,0,8957444.0,2021-12-30
BID,IS_010,2022,0,6526421.0,2022-12-30
BID,IS_010,2023,0,6542525.0,2023-12-30
BID,IS_010,2016,0,3729795.0,2016-12-30
BID,IS_010,2017,0,4594254.0,2017-12-30
BID,IS_010,2018,0,5337309.0,2018-12-30
BID,IS_010,2019,0,6517869.0,2019-12-30
BID,IS_011,2020,0,2900221.0,2020-12-30
BID,IS_011,2021,0,2778592.0,2021-12-30
BID,IS_011,2022,0,2316094.0,2022-12-30
BID,IS_011,2023,0,4474726.0,2023-12-30
BID,IS_011,2016,0,1989395.0,2016-12-30
BID,IS_011,2017,0,1315256.0,2017-12-30
BID,IS_011,2018,0,1522134.0,2018-12-30
BID,IS_011,2019,0,1156695.0,2019-12-30
BID,IS_012,2020,0,5092568.0,2020-12-30
BID,IS_012,2021,0,6178852.0,2021-12-30
BID,IS_012,2022,0,4210327.0,2022-12-30
BID,IS_012,2023,0,2067799.0,2023-12-30
BID,IS_012,2016,0,1740400.0,2016-12-30
BID,IS_012,2017,0,3278998.0,2017-12-30
BID,IS_012,2018,0,3815175.0,2018-12-30
BID,IS_012,2019,0,5361174.0,2019-12-30
BID,IS_013,2020,0,154267.0,2020-12-30
BID,IS_013,2021,0,187622.0,2021-12-30
BID,IS_013,2022,0,290952.0,2022-12-30
BID,IS_013,2023,0,355275.0,2023-12-30
BID,IS_013,2016,0,1214488.0,2016-12-30
BID,IS_013,2017,0,335537.0,2017-12-30
BID,IS_013,2018,0,242006.0,2018-12-30
BID,IS_013,2019,0,214485.0,2019-12-30
BID,IS_014,2020,0,0.0,2020-12-30
BID,IS_014,2021,0,0.0,2021-12-30
BID,IS_014,2022,0,0.0,2022-12-30
BID,IS_014,2023,0,25080598.0,2023-12-30
BID,IS_014,2016,0,13521879.0,2016-12-30
BID,IS_014,2017,0,0.0,2017-12-30
BID,IS_014,2018,0,0.0,2018-12-30
BID,IS_014,2019,0,0.0,2019-12-30
BID,IS_015,2020,0,32344184.0,2020-12-30
BID,IS_015,2021,0,43028568.0,2021-12-30
BID,IS_015,2022,0,47024970.0,2022-12-30
BID,IS_015,2023,0,47932419.0,2023-12-30
BID,IS_015,2016,0,17008331.0,2016-12-30
