stock_code,category_code,year,quarter,data
MBS,IS_001,2020,0,202471
MBS,IS_001,2021,0,370485
MBS,IS_001,2022,0,226222
MBS,IS_001,2023,0,0
MBS,IS_001,2016,0,42664
MBS,IS_001,2017,0,54430
MBS,IS_001,2018,0,138541
MBS,IS_001,2019,0,133862
MBS,IS_001.1,2020,0,156881
MBS,IS_001.1,2021,0,331707
MBS,IS_001.1,2022,0,165318
MBS,IS_001.1,2023,0,0
MBS,IS_001.1,2016,0,30561
MBS,IS_001.1,2017,0,37778
MBS,IS_001.1,2018,0,127340
MBS,IS_001.1,2019,0,104500
MBS,IS_001.2,2020,0,3451
MBS,IS_001.2,2021,0,2720
MBS,IS_001.2,2022,0,-10580
MBS,IS_001.2,2023,0,0
MBS,IS_001.2,2016,0,0
MBS,IS_001.2,2017,0,9478
MBS,IS_001.2,2018,0,-9342
MBS,IS_001.2,2019,0,867
MBS,IS_001.3,2020,0,42138
MBS,IS_001.3,2021,0,36057
MBS,IS_001.3,2022,0,71483
MBS,IS_001.3,2023,0,0
MBS,IS_001.3,2016,0,12102
MBS,IS_001.3,2017,0,7173
MBS,IS_001.3,2018,0,20543
MBS,IS_001.3,2019,0,28494
MBS,IS_001.4,2020,0,0
MBS,IS_001.4,2021,0,0
MBS,IS_001.4,2022,0,0
MBS,IS_001.4,2023,0,0
MBS,IS_001.4,2016,0,0
MBS,IS_001.4,2017,0,0
MBS,IS_001.4,2018,0,0
MBS,IS_001.4,2019,0,0
MBS,IS_010,2020,0,0
MBS,IS_010,2021,0,0
MBS,IS_010,2022,0,0
MBS,IS_010,2023,0,21420
MBS,IS_010,2016,0,0
MBS,IS_010,2017,0,0
MBS,IS_010,2018,0,0
MBS,IS_010,2019,0,0
MBS,IS_100,2020,0,67399
MBS,IS_100,2021,0,149464
MBS,IS_100,2022,0,146363
MBS,IS_100,2023,0,132130
MBS,IS_100,2016,0,164
MBS,IS_100,2017,0,205
MBS,IS_100,2018,0,25379
MBS,IS_100,2019,0,58775
MBS,IS_100.1,2020,0,66158
MBS,IS_100.1,2021,0,146912
MBS,IS_100.1,2022,0,148210
MBS,IS_100.1,2023,0,141032
MBS,IS_100.1,2016,0,0
MBS,IS_100.1,2017,0,0
MBS,IS_100.1,2018,0,36540
MBS,IS_100.1,2019,0,48273
MBS,IS_100.2,2020,0,1241
MBS,IS_100.2,2021,0,2552
MBS,IS_100.2,2022,0,-1847
MBS,IS_100.2,2023,0,-8902
MBS,IS_100.2,2016,0,164
MBS,IS_100.2,2017,0,205
MBS,IS_100.2,2018,0,-11160
MBS,IS_100.2,2019,0,10502
MBS,IS_011,2020,0,51928
MBS,IS_011,2021,0,77996
MBS,IS_011,2022,0,63780
MBS,IS_011,2023,0,26518
MBS,IS_011,2016,0,57307
MBS,IS_011,2017,0,39117
MBS,IS_011,2018,0,47310
MBS,IS_011,2019,0,73568
MBS,IS_002,2020,0,55312
MBS,IS_002,2021,0,69313
MBS,IS_002,2022,0,121946
MBS,IS_002,2023,0,0
MBS,IS_002,2016,0,10993
MBS,IS_002,2017,0,23669
MBS,IS_002,2018,0,43830
MBS,IS_002,2019,0,32003
MBS,IS_020,2020,0,1115549
MBS,IS_020,2021,0,2217763
MBS,IS_020,2022,0,1958363
MBS,IS_020,2023,0,1815958
MBS,IS_020,2016,0,511598
MBS,IS_020,2017,0,837729
MBS,IS_020,2018,0,1041605
MBS,IS_020,2019,0,943767
MBS,IS_200,2020,0,268705
MBS,IS_200,2021,0,586810
MBS,IS_200,2022,0,514205
MBS,IS_200,2023,0,584016
MBS,IS_200,2016,0,16653
MBS,IS_200,2017,0,23962
MBS,IS_200,2018,0,177352
MBS,IS_200,2019,0,229802
MBS,IS_201,2020,0,268705
MBS,IS_201,2021,0,586810
MBS,IS_201,2022,0,514205
MBS,IS_201,2023,0,584016
MBS,IS_201,2016,0,16653
MBS,IS_201,2017,0,23962
MBS,IS_201,2018,0,177352
MBS,IS_201,2019,0,229802
MBS,IS_202,2020,0,0
MBS,IS_202,2021,0,0
MBS,IS_202,2022,0,0
MBS,IS_202,2023,0,0
MBS,IS_202,2016,0,0
MBS,IS_202,2017,0,0
MBS,IS_202,2018,0,0
MBS,IS_202,2019,0,0
MBS,IS_203,2020,0,0
MBS,IS_203,2021,0,0
MBS,IS_203,2022,0,0
MBS,IS_203,2023,0,0
MBS,IS_203,2016,0,0
MBS,IS_203,2017,0,0
MBS,IS_203,2018,0,0
MBS,IS_203,2019,0,0
MBS,IS_021,2020,0,112109
MBS,IS_021,2021,0,159724
MBS,IS_021,2022,0,91803
MBS,IS_021,2023,0,31082
MBS,IS_021,2016,0,65486
MBS,IS_021,2017,0,134463
MBS,IS_021,2018,0,48811
MBS,IS_021,2019,0,83583
MBS,IS_021.1,2020,0,112091
MBS,IS_021.1,2021,0,166645
MBS,IS_021.1,2022,0,91838
MBS,IS_021.1,2023,0,30579
MBS,IS_021.1,2016,0,71305
MBS,IS_021.1,2017,0,109212
MBS,IS_021.1,2018,0,41096
MBS,IS_021.1,2019,0,99965
MBS,IS_021.2,2020,0,-2754
MBS,IS_021.2,2021,0,-10039
MBS,IS_021.2,2022,0,-2103
MBS,IS_021.2,2023,0,-711
MBS,IS_021.2,2016,0,-6031
MBS,IS_021.2,2017,0,25013
MBS,IS_021.2,2018,0,7340
MBS,IS_021.2,2019,0,-17876
MBS,IS_021.3,2020,0,2772
MBS,IS_021.3,2021,0,3118
MBS,IS_021.3,2022,0,2068
MBS,IS_021.3,2023,0,1204
MBS,IS_021.3,2016,0,212
MBS,IS_021.3,2017,0,237
MBS,IS_021.3,2018,0,374
MBS,IS_021.3,2019,0,1494
MBS,IS_021.4,2020,0,0
MBS,IS_021.4,2021,0,0
MBS,IS_021.4,2022,0,0
MBS,IS_021.4,2023,0,0
MBS,IS_021.4,2016,0,0
MBS,IS_021.4,2017,0,0
MBS,IS_021.4,2018,0,0
MBS,IS_021.4,2019,0,0
MBS,IS_023,2020,0,0
MBS,IS_023,2021,0,0
MBS,IS_023,2022,0,0
MBS,IS_023,2023,0,0
MBS,IS_023,2016,0,0
MBS,IS_023,2017,0,0
MBS,IS_023,2018,0,0
MBS,IS_023,2019,0,0
MBS,IS_024,2020,0,0
MBS,IS_024,2021,0,0
MBS,IS_024,2022,0,0
