stock_code,year,quarter,BS_110,BS_120,BS_130,BS_131,BS_132,BS_139,BS_140,BS_141,BS_149,BS_150,BS_160,BS_161,BS_169,BS_170,BS_171,BS_172,BS_179,BS_180,BS_181,BS_189,BS_210,BS_211,BS_211.1,BS_212,BS_213,BS_214,BS_219,BS_220,BS_221,BS_222,BS_223,BS_224,BS_225,BS_226,BS_227,BS_228,BS_229,BS_240,BS_241,BS_242,BS_250,BS_251,BS_252,BS_253,BS_254,BS_255,BS_259,BS_300,BS_310,BS_320,BS_321,BS_322,BS_330,BS_340,BS_350,BS_360,BS_361,BS_370,BS_371,BS_372,BS_373,BS_379,BS_400,BS_410,BS_411,BS_412,BS_413,BS_414,BS_415,BS_416,BS_420,BS_430,BS_440,BS_450,BS_500,BS_700,BS_800,CF_001,CF_002,CF_003,CF_004,CF_005,CF_006,CF_007,CF_008,CF_009,CF_010,CF_011,CF_012,CF_013,CF_014,CF_015,CF_016,CF_017,CF_018,CF_019,CF_020,CF_021,CF_022,CF_023,CF_024,CF_025,CF_026,CF_027,CF_028,CF_029,CF_030,CF_031,CF_032,CF_033,CF_034,CF_035,CF_036,CF_037,CF_038,CF_039,CF_040,CF_041,CF_042,CF_043,CF_044,CF_045,IS_001,IS_002,IS_003,IS_004,IS_005,IS_006,IS_007,IS_008,IS_009,IS_010,IS_011,IS_012,IS_013,IS_014,IS_015,IS_016,IS_017,IS_018,IS_019,IS_020,IS_021,IS_022,IS_022.1,IS_023,IS_024,IS_030
ABB,2015,0,573980.0,1737113.0,11592331.0,1312551.0,10279780.0,0.0,0.0,0.0,0.0,23587.0,30530486.0,30915308.0,-384822.0,15189676.0,11661971.0,4076710.0,-549005.0,0.0,0.0,0.0,310910.0,0.0,44191.0,0.0,44191.0,268791.0,-2072.0,980341.0,567678.0,850758.0,-283080.0,0.0,0.0,0.0,412663.0,541381.0,-128718.0,128689.0,131144.0,-2455.0,3307573.0,1667163.0,919593.0,0.0,852532.0,0.0,-131715.0,64374686.0,799795.0,9096176.0,1033719.0,8062457.0,47529915.0,0.0,280328.0,0.0,66802390.0,878211.0,601322.0,0.0,276889.0,0.0,58584425.0,5248159.0,4798000.0,994.0,449165.0,0.0,0.0,0.0,325701.0,0.0,0.0,216401.0,5790261.0,0.0,64374686.0,4060713.0,-2397002.0,57557.0,192525.0,44032.0,20187.0,-1120031.0,-11371.0,846610.0,-53999.0,-1514402.0,-18819.0,-4992825.0,-183222.0,1421145.0,799795.0,-6712561.0,2427217.0,0.0,159546.0,0.0,0.0,-376.0,-8233624.0,-34742.0,1813.0,0.0,-44800.0,0.0,0.0,546503.0,0.0,7725.0,476499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7757125.0,16095549.0,0.0,8338424.0,4089097.0,-2441841.0,1647256.0,154956.0,-97399.0,57557.0,63679.0,0.0,131697.0,158892.0,-95172.0,63720.0,7725.0,-1190073.0,781561.0,-663198.0,118363.0,-27084.0,0.0,-27084.0,91279.0,0.0,91279.0,190.0,0.0,1971634.0
ABB,2015,1,567236.113721,550429.561,15945163.262136998,461169.262137,15483994.0,0.0,0.276084,0.276084,0.0,0.0,22964907.303165,23436072.32779,-471165.024625,14528419.952696998,10382347.139541,4337376.168369,-191303.355213,0.0,0.0,0.0,318268.648353,0.0,0.0,0.0,0.0,268791.04,0.0,1001441.748009,577806.701347,825886.043582,-248079.342235,0.0,0.0,0.0,423635.046662,533856.400078,-110221.353416,183391.172558,186645.802946,-3254.630388,4825069.274541,2785714.470729,936239.471417,0.0,1148103.060863,0.0,-44987.728468,60884327.312265,0.0,14167860.780344,3255566.074341,10912294.706003,40030724.470092,8974.652693,125625.169,0.0,68501045.852473,738687.167959,533378.226373,0.0,205308.941586,0.0,55071872.240088,5248158.694342,4797999.76,993.636363,449165.297979,0.0,0.0,0.0,295785.451174,32537.166406,0.0,235973.760255,5812455.072177,0.0,60884327.312265,1088969.781034,-802527.575279,13294.658041,112927.298025,-760.460463,0.0,-211103.733043,0.0,200799.968315,-995213.295022,-4093320.193774,0.0,-219440.002818,6784.301239,-1132714.492634,0.0,7425711.912254001,4545276.956595,-1946620.0,63593.88,8117.169698,59903.908191,0.0,3922880.112044,-223519.978124,0.0,0.0,-10607.803761,0.0,0.0,-752.22,-385.087269,0.0,-235265.089154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687615.02289,7698376.72039,0.0,11385991.74328,992731.565915,-621322.556689,371409.009226,32418.750446000002,-19124.092405,13294.658041,13942.909881,0.0,97484.584301,4192.985205,-4953.445667999999,-760.460463,1499.8038430000001,-277318.946933,219551.557896,-126303.012164,93248.545732,-1492.50383,0.0,-1492.50383,91756.041902,0.0,91756.041902,0.0,0.0,496870.504829
ABB,2015,2,758714.554044,736836.636187,17164994.542616,1173312.542616,15991682.0,0.0,0.271584,0.458173,-0.186589,3906.352511,25634124.50459,26124945.720487002,-490821.215897,16245041.041659001,12048681.674426,4457202.670263,-260843.30303,0.0,0.0,0.0,318590.040913,0.0,0.0,0.0,0.0,268791.04,0.0,985738.522198,569334.219398,828247.843582,-258913.624184,0.0,0.0,0.0,416404.3028,533856.400078,-117452.097278,183197.163467,186645.802946,-3448.639479,3623867.647404,1846613.954872,977924.372805,0.0,892108.621529,0.0,-92779.301802,65655011.277173005,0.0,15971845.448180998,3195477.848181,12776367.6,42795601.481755,0.0,145311.724698,0.0,74884604.102815,867107.728345,687259.065379,0.0,179848.662966,0.0,59779866.382979,5248158.694342,4797999.76,993.636363,449165.297979,0.0,0.0,0.0,311807.180176,15187.116759,0.0,299991.902917,5875144.894194,0.0,65655011.277173005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067112.9670230001,-618706.4381189999,448406.528904,35161.741408,-26098.561467000003,9063.179941,15227.559147,-0.0015,17919.67148,16561.72529,-2054.862153,14506.863137,574.91376,-274772.27342,230926.441449,-145028.654513,85897.786936,-21386.783055,0.0,-21386.783055,64511.003881,0.0,64511.003881,0.0,0.0,505698.714869
ABB,2015,3,769159.298,847458.162392,10722279.263705,686094.263705,10036185.0,0.0,0.0,0.0,0.0,6111.054339,27357984.879286,27697838.829502,-339853.950216,15612519.997169,10877992.316037,5072598.547563,-338070.866431,0.0,0.0,0.0,312762.932165,0.0,0.0,0.0,0.0,268791.04,0.0,973473.568308,559514.353466,829163.699878,-269649.346412,0.0,0.0,0.0,413959.214842,536966.649078,-123007.434236,103136.69303,104774.854328,-1638.161298,3710880.547135,1999368.888914,1019831.238157,0.0,784449.838366,0.0,-92769.418302,60415766.395529,0.0,10526327.316658,1790794.716658,8735532.6,42957601.723230004,0.0,238449.644381,0.0,64248706.000927,786786.772326,567536.975192,0.0,219249.797134,0.0,54509165.456595,5248158.694342,4797999.76,993.636363,449165.297979,0.0,0.0,0.0,311807.180176,-40508.187138,0.0,387143.251554,5906600.938934,0.0,60415766.395529,1077380.165948,-730519.127532,23750.780655,40114.466648,18774.66256,-7462.661034,-92262.46214,-359.878,329415.947105,663469.13507,-1109432.578131,-2204.796983,-1514559.39417,-82551.157002,-681766.562806,0.0,-5445519.587399,162000.836454,0.0,93137.974381,0.0,369935.854098,-2178.06483,-7220252.394212999,-3988.208291,-148.772727,0.0,-81870.948618,0.0,0.0,-5805.278845,0.0,3949.727207,-87863.481274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7308115.875487001,15870671.0,-15187.0,8547368.124513,1002955.360217,-599743.132724,403212.22749300004,42940.974764000006,-25061.032091,17879.942673,43289.29803,101.60630300000001,-10166.865819,92381.317008,-82012.718156,10368.598852,6501.987222,-257921.736094,213265.05865999998,-107007.914439,106257.144221,-19003.003918,0.0,-19003.003918,87254.140303,0.0,87254.140303,0.0,0.0,471186.794754
ABB,2015,4,573979.759033,1737113.143835,11592330.950496,1312550.950496,10279780.0,0.0,0.0,0.0,0.0,23587.152323,30531156.456054002,30915308.460736997,-384152.004683,15172866.248164998,11651535.809014,4076710.248085,-555379.808934,0.0,0.0,0.0,310910.575477,0.0,0.0,0.0,0.0,268791.04,-2071.639663,980341.73907,567678.591302,850758.407405,-283079.816103,0.0,0.0,0.0,412663.147768,541381.481358,-128718.33359,128688.967525,131144.157328,-2455.189803,3331346.5338,1717806.375059,930057.05937,0.0,812197.69306,0.0,-128714.593689,64382321.525777996,799794.73786,9096175.4523,1033718.8523,8062456.6,47529915.21699,0.0,280328.014381,0.0,66802388.873831,883133.401219,601321.528684,0.0,281811.872535,0.0,58589346.82275,5248158.694342,4797999.76,993.636363,449165.297979,0.0,0.0,0.0,312422.519664,0.0,0.0,232393.489022,5792974.703028,0.0,64382321.525777996,1012878.231046,-587438.114301,31903.58943,10350.146777,369.220506,6480.186015,-291034.335472,-403.432,183105.492001,-1296774.106408,-277656.718411,-17476.097984,-3217469.631235,-263678.636633,940909.119459,799794.73786,-1430151.864358,4572313.49376,0.0,41878.37,0.0,-206119.725407,5723.469148,-165602.098208,-110577.03534,-833.227273,0.0,26369.303,0.0,0.0,219.282975,0.0,18175.272793,-66646.403845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232248.502053,8547368.384079,0.0,8315119.882025999,1031053.5038389999,-587438.114301,443615.389538,58920.783284000005,-27017.193853999997,31903.58943,-8780.34607,-101.769307,20084.856386,12999.883541000001,-6150.47702,6849.406521,-852.594232,-376439.838651,116278.693615,-284187.710284,-167909.01666899998,14065.8241,0.0,14065.8241,-153843.192569,0.0,-153843.192569,0.0,0.0,492718.532266
ABB,2016,0,633746.0,1529072.0,12379072.0,2965266.0,9413806.0,0.0,0.0,0.0,0.0,92149.0,39209631.0,39796167.0,-586536.0,15056462.0,12512204.0,3378637.0,-834379.0,694161.0,715250.0,-21089.0,311649.0,0.0,45065.0,0.0,45065.0,268791.0,-2207.0,829820.0,535562.0,871312.0,-335750.0,0.0,0.0,0.0,294258.0,445119.0,-150861.0,101544.0,104775.0,-3231.0,3334197.0,2085847.0,984136.0,0.0,420111.0,0.0,-155897.0,74171503.0,1643448.0,13105264.0,5939519.0,7165745.0,51524592.0,0.0,311910.0,400000.0,80090478.0,1343827.0,766423.0,0.0,577404.0,0.0,68329041.0,5320490.0,5319496.0,994.0,0.0,0.0,0.0,0.0,292065.0,0.0,0.0,229907.0,5842462.0,0.0,74171503.0,4410223.0,-2497960.0,137052.0,283160.0,42802.0,14245.0,-1256272.0,-26584.0,1106666.0,-2675794.0,-152160.0,-68562.0,-9012032.0,-74548.0,-603648.0,843653.0,4009088.0,3994677.0,0.0,31582.0,0.0,274107.0,0.0,-2326971.0,-32145.0,98957.0,0.0,0.0,0.0,0.0,0.0,0.0,9177.0,75989.0,0.0,400000.0,0.0,-186346.0,0.0,0.0,213654.0,-2037328.0,8338424.0,0.0,6301096.0,4489011.0,-2663061.0,1825950.0,231086.0,-94034.0,137052.0,113012.0,2121.0,165162.0,60605.0,-51809.0,8796.0,10051.0,-1299207.0,962937.0,-657780.0,305157.0,-61243.0,0.0,-61243.0,243914.0,0.0,243914.0,448.0,0.0,2262144.0
ABB,2016,1,688221.352306,638720.382984,10393312.59807,2622373.59807,7770939.0,0.0,0.0,0.0,0.0,0.0,32786339.176363003,33188448.272272,-402109.095909,14034699.254062,10877872.959016,3833550.582852,-676724.287806,0.0,0.0,0.0,310688.253615,0.0,0.0,0.0,0.0,268791.04,-2071.639663,965809.3108,558484.131027,854028.689814,-295544.558787,0.0,0.0,0.0,407325.179773,541652.573358,-134327.393585,128183.448727,131144.157328,-2960.708601,3603478.986355,1542806.868217,986653.899566,0.0,1203482.812261,0.0,-129464.593689,63549452.76328199,791938.811337,9473629.146279,2209939.146279,7263690.0,46266514.247172,56496.680008,286585.864683,0.0,66348793.895758,825952.347968,648258.46836,0.0,177693.879608,0.0,57701117.097447,5248158.694342,4797999.76,993.636363,449165.297979,0.0,0.0,0.0,312411.723322,115.167742,0.0,287650.080429,5848335.665835,0.0,63549452.76328199,1043316.707052,-646113.988554,22112.476795,0.0,6909.227106,5010.68824,-167937.466901,-3268.538106,295124.756668,-1586616.329774,477257.488031,23587.152323,-2273139.811535,-145005.221218,-275192.065855,-7855.926523,377453.693979,-1263400.969818,0.0,6257.850302,56496.680008,10705.357641,-13289.058282,-4317616.404053,-3731.645725,710.6,0.0,0.0,0.0,0.0,0.0,0.0,851.6,-2169.445725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4319785.849778,11385991.74328,0.0,7066205.893502001,1043316.707052,-646113.988554,397202.718498,45290.786958,-22467.710163,22823.076795,14709.552975999999,0.0,20416.619922,16402.034639999998,-4482.119294,11919.915346,821.0781380000001,-251699.13514899998,216193.826526,-156679.271896,59514.55463,-2222.028277,0.0,-2222.028277,57292.526353,0.0,57292.526353,0.0,0.0,467892.96167499997
ABB,2016,2,748072.0,669192.0,13618334.0,2387406.0,11230928.0,0.0,760270.0,760270.0,0.0,21956.0,35644846.0,36157731.0,-512885.0,14325219.0,11350534.0,3753440.0,-778755.0,878000.0,878000.0,0.0,310837.0,0.0,44253.0,0.0,44253.0,268791.0,-2207.0,947827.0,545649.0,854569.0,-308920.0,0.0,0.0,0.0,402178.0,541652.0,-139474.0,128301.0,131144.0,-2843.0,2218895.0,978373.0,1066557.0,0.0,303430.0,0.0,-129465.0,70271749.0,0.0,12090040.0,4656645.0,7433395.0,51292466.0,0.0,281356.0,0.0,75753902.0,917547.0,695686.0,0.0,221861.0,0.0,64581409.0,5248159.0,4798000.0,994.0,449165.0,0.0,0.0,0.0,337949.0,0.0,0.0,104232.0,5690340.0,0.0,70271749.0,966804.292948,-555253.011446,30363.523205,46636.348964,13336.772894,4123.31176,-385926.533099,-1733.461894,118351.243332,3560116.329774,-597916.488031,-21956.152323,-2872279.188465,145005.221218,887606.065855,-791939.073477,2616410.306021,5025951.969818,0.0,-5229.850302,-56496.680008,-24160.357641,13289.058282,7996752.404053,-1471.354275,-69.6,0.0,0.0,0.0,0.0,-354916.0,0.0,2024.4,-354432.554275,0.0,0.0,0.0,-176560.0,0.0,0.0,-176560.0,7465759.849777999,4018638.150222,0.0,11484398.0,1078372.292948,-649617.011446,428755.281502,51998.213042,-22345.289837,29652.923205000003,29010.447023999997,0.0,11220.380078,30600.96536,-166.880706,30434.084654,2116.921862,-281495.86485099996,249694.173474,-194758.72810399998,54935.44537,-20775.971723,0.0,-20775.971723,34159.473647,0.0,34159.473647,0.0,0.0,531190.038325
ABB,2016,3,746753.901521,1153974.038629,12968477.471546,3539336.895786,9429140.57576,0.0,0.0,0.0,0.0,29378.883899,36090976.222568996,36535685.292806,-444709.070237,13988141.572925,11157395.224006,3739616.574224,-908870.225305,346247.964306,346247.964306,0.0,311147.052887,0.0,0.0,0.0,0.0,268791.04,-2206.666924,834855.154586,540221.614444,862706.061249,-322484.446805,0.0,0.0,0.0,294633.540142,439160.549079,-144527.008937,128106.940252,131144.157328,-3037.217076,3095424.686443,1436191.290436,1010670.116715,0.0,778027.872981,0.0,-129464.593689,69693483.889563,0.0,9296630.525385,1639741.125385,7656889.4,52978313.481361,0.0,292706.35191,400000.0,72264280.884041,927216.519998,679881.40928,0.0,247335.110718,0.0,63894866.878654,5320489.926363,5319496.29,993.636363,0.0,0.0,0.0,0.0,253369.549583,0.0,0.0,224757.534963,5798617.010909,0.0,69693483.889563,1174004.323148,-695712.296418,34291.95902,-81732.0,-17378.842061,1359.380117,-330844.40785,2996.608058,86984.724014,-1438992.422192,962328.231669,-7422.731576,-933591.513046,0.0,-327378.241349,0.26214,-2793408.926915,1685847.264371,400000.0,11350.337529,0.0,-383761.65486,0.0,-2738044.670215,-11948.742985,70065.0,0.0,0.0,0.0,0.0,354544.495329,0.0,-190.989695,412469.762649,521496.53,0.0,0.0,-9817.8917,0.0,0.0,511678.6383,-1813896.269266,11484398.0,0.0,9670501.730734,1141872.3573750001,-679908.539476,461963.817899,57724.741665,-23432.525701000002,34292.215963999995,12501.233710999999,1921.271784,70409.663079,9978.629155,-38426.428424,-28447.799269,10310.497054,-312621.78257399995,250329.117648,-148075.61382899998,102253.503819,-14495.596426,0.0,-14495.596426,87757.907393,0.0,87757.907393,0.0,0.0,562950.900222
ABB,2016,4,633745.725067,1529072.468918,12379073.643951,2965268.143951,9413805.5,0.0,0.0,0.0,0.0,92149.255783,39327309.542674,39796167.006963,-468857.464289,14950795.670664,12512204.252906,3378636.755946,-940045.338188,712660.625,715250.0,-2589.375,311648.505881,0.0,0.0,0.0,0.0,268791.04,-2206.666924,829819.687715,535562.088179,871311.992828,-335749.904649,0.0,0.0,0.0,294257.599536,445118.225867,-150860.626331,101543.628161,104774.854328,-3231.226167,3388828.605766,2156182.72394,984283.875693,0.0,420110.438879,0.0,-171748.432746,74256647.35958001,1643447.796851,13105264.00857,5939518.60857,7165745.4,51524592.250277,0.0,311909.91886,400000.0,80090477.983128,1414926.754158,766423.337734,0.0,648503.416424,0.0,68400140.728716,5320489.926363,5319496.29,993.636363,0.0,0.0,0.0,0.0,256895.330884,0.0,0.0,279121.373617,5856506.630864,0.0,74256647.35958001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160456.092287,-687422.874682,473033.217605,73629.49221299999,-25817.985705,47811.506508,56791.26243,199.486061,63115.619011,203709.34826499998,-153908.18956700002,49801.158698,-3198.547006,-451883.533777,235670.16953,-160392.65359,75277.51594,-17047.442009,0.0,-17047.442009,58230.073931,0.0,58230.073931,0.0,0.0,687553.7033070001
