stock_code,year,quarter,BS_100,BS_110,BS_111,BS_112,BS_120,BS_121,BS_122,BS_123,BS_130,BS_131,BS_132,BS_133,BS_134,BS_135,BS_136,BS_137,BS_139,BS_140,BS_141,BS_149,BS_150,BS_151,BS_152,BS_153,BS_154,BS_155,BS_200,BS_210,BS_211,BS_212,BS_213,BS_214,BS_215,BS_216,BS_219,BS_220,BS_221,BS_222,BS_223,BS_224,BS_225,BS_226,BS_227,BS_228,BS_229,BS_230,BS_231,BS_232,BS_240,BS_241,BS_242,BS_250,BS_251,BS_252,BS_253,BS_254,BS_255,BS_260,BS_261,BS_262,BS_263,BS_268,BS_269,BS_270,BS_300,BS_310,BS_311,BS_312,BS_313,BS_314,BS_315,BS_316,BS_317,BS_318,BS_319,BS_320,BS_321,BS_322,BS_323,BS_324,BS_330,BS_331,BS_332,BS_333,BS_334,BS_335,BS_336,BS_337,BS_338,BS_339,BS_340,BS_341,BS_342,BS_343,BS_400,BS_410,BS_411,BS_411a,BS_411b,BS_412,BS_413,BS_414,BS_415,BS_416,BS_417,BS_418,BS_419,BS_420,BS_421,BS_421a,BS_421b,BS_422,BS_429,BS_430,BS_431,BS_432,BS_440,CF_001,CF_002,CF_003,CF_004,CF_005,CF_006,CF_007,CF_008,CF_009,CF_010,CF_011,CF_012,CF_013,CF_014,CF_015,CF_016,CF_017,CF_020,CF_021,CF_022,CF_023,CF_024,CF_025,CF_026,CF_027,CF_030,CF_031,CF_032,CF_033,CF_034,CF_035,CF_036,CF_037,CF_040,CF_050,CF_060,CF_061,CF_070,IS_001,IS_002,IS_010,IS_011,IS_020,IS_021,IS_022,IS_023,IS_024,IS_025,IS_026,IS_030,IS_031,IS_032,IS_040,IS_050,IS_050.1,IS_051,IS_052,IS_060,IS_061,IS_062,IS_070,IS_071
ACV,2016,0,22151492,3165744,2793482,372262,13640000,28644,-28644,13640000,4248404,1699653,918588,0,0,0,1712502,-82339,0,721296,721296,0,376046,25612,232586,117847,0,0,25185221,258668,0,0,0,0,0,480301,-221632,21707592,21673876,35952955,-14279079,4065,4065,0,29650,47687,-18036,32243,37252,-5009,738376,0,738376,1240339,0,957485,299053,-16200,0,1208001,92095,252490,6325,0,857090,47336713,22283027,8254716,1307996,5561,193602,1128932,1311779,0,0,21352,3327275,262660,13000,682554,0,0,14028310,0,0,0,0,0,0,62249,13964208,0,0,1852,0,0,25053686,25053686,21771732,21771732,0,14602,0,0,0,0,0,450312,0,0,2058397,1809509,248888,0,758641,0,0,0,47336713,3419428,3440648,63399,-236875,-864905,76487,0,5898182,-732549,-108835,2438453,119387,0,-58527,-1351626,676,-576317,5629050,-2221633,3353,-5316184,4013584,-56940,187510,793148,-2597161,0,0,419838,-503137,0,-2732612,0,-1817087,214800,2934592,16351,3165744,10675051,28631,10646420,6726951,3919469,1130365,137630,76487,51220,527517,980761,3455146,15071,50789,-35717,3419428,560636.0,631018,70382,2718027,2572546,145481,1045,0
ACV,2017,0,26343133,1313665,913665,400000,17563000,0,0,17563000,6957603,2043091,1373464,0,0,0,3571079,-30032,0,404108,404108,0,104755,17868,53728,33158,0,0,22819792,352941,0,0,0,0,0,352941,0,18989231,18987853,36768825,-17780972,0,0,0,1377,14964,-13586,0,0,0,635700,0,635700,2695061,0,2511561,184800,-1300,0,146857,57906,88951,0,0,0,49162925,21778430,7354070,1124603,20708,238645,1080988,923724,0,0,19356,3538730,148235,0,259077,0,0,14424359,0,0,0,0,0,0,80806,14327552,0,0,0,16000,0,27384495,27384495,21771732,21771732,0,14602,0,0,0,0,0,702011,0,0,4848782,748281,4100501,0,47365,0,0,0,49162925,5343473,4165022,11419,489588,-1193909,96165,0,8911760,-3219196,33447,2116471,10695,0,-95436,-1316845,2227,-2049685,4393438,-1370121,21540,-12720500,8725500,0,-444462,963162,-4824880,0,0,31402,-145760,0,-1306211,0,-1420569,-1852012,3165744,-67,1313665,13873411,43196,13830215,8182344,5647870,1121661,606234,96165,256923,293254,808621,5318344,27520,2391,25128,5343473,882199.0,1051976,169777,4121720,4100501,21219,1883,0
ACV,2018,0,31264131,638390,628390,10000,23730400,0,0,23730400,6126277,2488058,382816,0,0,0,3285313,-29911,0,469505,469505,0,299557,32501,194016,73039,0,0,22259856,321162,6300,0,0,0,0,314862,0,18378605,18375300,40099569,-21724268,0,0,0,3304,18575,-15270,0,0,0,591404,0,591404,2791368,0,2607868,184800,-1300,0,177315,69369,107946,0,0,0,53523988,22775182,7620617,1142847,28198,73947,1026311,888121,0,0,9234,3869475,150932,0,431547,0,0,15154564,0,0,0,0,0,0,90353,15043360,0,0,0,20850,0,30748805,30748805,21771732,21771732,0,14602,0,0,-572,0,0,2550573,0,0,6359930,5725808,634121,0,52538,0,0,0,53523988,7574998,3960918,4729,638238,-1668075,95084,-1547,10604345,-177217,-61561,366761,-26095,0,-95942,-2027663,0,-649944,7932681,-2019795,724,-9913400,3746000,0,0,1454141,-6732329,0,-572,234180,-149492,0,-1959379,0,-1875263,-674911,1313665,-362,638390,16138803,48925,16089877,8317720,7772157,1363440,755865,95084,321141,306173,878228,7516470,86011,27484,58527,7574998,1465134.0,1446139,-18995,6147854,6135334,12519,2630,0
ACV,2018,4,31669965,638390,628390,10000,23730400,0,0,23730400,6460063,2486427,670730,0,0,0,3332948,-30042,0,493483,493483,0,347627,29315,197096,121215,0,0,22074034,328796,6300,0,0,0,0,322496,0,18250582,18247277,39981131,-21733853,0,0,0,3304,18575,-15270,0,0,0,513058,0,513058,2810937,0,2627437,184800,-1300,0,170658,69375,101283,0,0,0,53743999,23208541,8047141,1314020,28078,110633,1022624,926111,0,0,9502,3772618,154843,0,708707,0,0,15161400,0,0,0,0,0,0,97189,15043360,0,0,0,20850,0,30535458,30535458,21771732,21771732,0,14602,0,0,-572,0,0,2550573,0,0,6146582,5516723,629858,0,52538,0,0,0,53743999,7627885,3954391,4860,642244,-1979612,95673,0,10345442,1146051,-93239,-521798,-22915,0,-95942,-2027663,0,-627834,8102101,-2363794,449,-9913400,3746000,0,0,1634577,-6896168,0,-572,234180,-149492,0,-1964959,0,-1880844,-674911,1313665,-362,638390,4178903,36794,4142109,2465359,1676749,380940,347251,24327,81663,81000,280592,1430510,78897,3522,75374,1505884,264688.0,253999,-10689,1262574,4149,1258425,520,0
ACV,2019,0,37291466,349666,343666,6000,30921500,0,0,30921500,5360502,2649756,230029,0,0,0,2510610,-29893,0,493477,493477,0,166320,25094,129964,11261,0,0,20884728,304526,6300,0,0,0,0,298226,0,16345334,16340489,41893901,-25553411,0,0,0,4844,21353,-16509,0,0,0,865253,0,865253,2962726,0,2777926,184800,0,0,406888,304772,102115,0,0,0,58176195,21418960,6518193,1257864,41996,609153,1127424,795664,0,0,3925,2431415,240059,0,10688,0,0,14900767,0,0,0,0,0,0,117061,14759541,0,0,0,24163,0,36757234,36757234,21771732,21771732,0,14602,0,0,-2285,0,0,6034593,0,0,8885438,8201155,684283,0,53152,0,0,0,58176195,10155787,3920049,1996,-37379,-2254546,96418,43,11882369,976096,-37740,-1016786,-227317,0,-96685,-1710830,0,-702717,9066386,-1958513,4433,-11187500,3996400,0,0,1906032,-7239148,0,-1713,0,-154993,0,-1959254,0,-2115962,-288723,638390,-1,349666,18364352,35801,18328551,8994924,9333627,1919789,103842,96418,382862,379134,1006436,10146866,9838,917,8921,10155787,1927661.0,1934645,6984,8214156,8201155,13001,3450,0
ACV,2019,1,33470647,1064312,1037312,27000,25164000,0,0,25164000,6554371,2547614,313673,0,0,0,3722995,-29911,0,452274,452274,0,235689,26882,189644,19162,0,0,22237973,312500,6300,0,0,0,0,306200,0,17933531,17930529,40664423,-22733894,0,0,0,3002,18575,-15573,0,0,0,612097,0,612097,2918958,0,2685458,184800,-1300,50000,460886,352697,108188,0,0,0,55708621,22953192,7920679,999868,7698,485402,681885,800207,0,0,32835,4491606,154251,0,266922,0,0,15032512,0,0,0,0,0,0,101744,14908706,0,0,0,22062,0,32755429,32755429,21771732,0,0,14602,0,0,-1518,0,0,2550573,0,0,8364238,1993908,6370330,0,55799,0,0,0,55708621,2473340,1005604,1212,-52704,-463915,23404,0,2986942,-183971,17231,237070,-277708,0,-41059,-104318,0,-183462,2450723,-678843,0,-1656000,172400,0,0,214087,-1948356,0,-945,0,-75466,0,-2,0,-76414,425952,638390,-30,1064312,4447435,8918,4438516,2140927,2297589,428983,24873,23404,92589,94561,228767,2470960,2389,9,2379,2473340,476655.0,476413,-242,1997169,1993908,3261,916,0
ACV,2019,2,36626003,821139,821139,0,28372500,0,0,28372500,6780645,2591118,265915,0,0,0,3953522,-29911,0,429500,429500,0,222218,42660,167836,11720,0,0,22103124,312500,6300,0,0,0,0,306200,0,17559996,17556680,41247337,-23690656,0,0,0,3316,19003,-15687,0,0,0,608556,0,608556,3178096,0,2694596,184800,-1300,300000,443974,334960,109014,0,0,0,58729128,26519612,11034987,1106257,5364,431027,709568,906117,0,0,15008,7158452,158901,0,544289,0,0,15484625,0,0,0,0,0,0,103263,15358087,0,0,0,23275,0,32209515,32209515,21771732,0,0,14602,0,0,-1518,0,0,6034593,0,0,4343699,3696832,646867,0,46405,0,0,0,58729128,4563003,2009866,2425,404326,-1052359,47988,32,5975283,-523040,40005,1125360,-275750,0,-47675,-656620,0,-187907,5449654,-1210222,1811,-6524500,1582400,0,0,987482,-5163028,0,-945,0,-75466,0,-27002,0,-103414,183211,638390,-462,821139,4477953,7796,4470156,2181218,2288938,446904,484221,24584,144267,93218,217179,2085490,4684,511,4172,2089663,385294.0,384469,-825,1706018,1702923,3094,718,0
ACV,2019,3,38476919,676416,676416,0,31382500,0,0,31382500,5840809,2454611,269853,0,0,0,3146256,-29911,0,427726,427726,0,149466,33608,104384,11473,0,0,21225905,312500,6300,0,0,0,0,306200,0,16810252,16805962,41422327,-24616365,0,0,0,4290,20334,-16044,0,0,0,672142,0,672142,3002900,0,2719400,184800,-1300,100000,428108,319221,108886,0,0,0,59702824,25251011,10006581,881739,4272,726608,763961,868430,0,0,31889,6094070,247323,0,388285,0,0,15244430,0,0,0,0,0,0,104732,15117060,0,0,0,22637,0,34451813,34451813,21771732,0,0,14602,0,0,-1518,0,0,6034593,0,0,6582607,5898330,684276,0,49795,0,0,0,59702824,7297601,3014278,3637,327692,-1643626,72787,43,9072413,337867,32124,261460,-250280,0,-90465,-1058818,0,-299360,8004940,-1620502,924,-9837500,2085400,0,0,1560720,-7810958,0,-945,0,-154993,0,-4,0,-155944,38038,638390,-13,676416,4591365,0,4591365,2179422,2411943,573457,29166,24798,83041,90214,211947,2737113,1044,1645,-601,2736511,529556.0,529683,127,2206700,2203412,3288,933,0
ACV,2019,4,38496246,349743,343743,6000,30921500,0,0,30921500,6575347,2594673,248385,0,0,0,3762199,-29911,0,489334,489334,0,160320,25037,129755,5527,0,0,20814347,304526,6300,0,0,0,0,298226,0,16214120,16209276,41752156,-25542879,0,0,0,4844,21353,-16509,0,0,0,916716,0,916716,2966272,0,2781472,184800,0,0,412711,304776,107935,0,0,0,59310593,22424593,7527507,1246280,38965,725732,831588,733095,0,0,4385,3694896,241872,0,10688,0,0,14897086,0,0,0,0,0,0,114810,14758112,0,0,0,24163,0,36886000,36886000,21771732,0,0,14602,0,0,-2285,0,0,6034593,0,0,9014169,8329885,684283,0,53187,0,0,0,59310593,10316282,3952218,3550,-36400,-2264390,95802,43,12067105,-407132,-29484,392907,-227264,0,-97117,-1710830,0,-643948,9344234,-2237140,1176,-11187500,3996400,0,0,1910149,-7516914,0,-1713,0,-154993,0,-1959259,0,-2115966,-288646,638390,-1,349743,4812811,19934,4792877,2455363,2337513,921173,25859,23015,67772,92193,260401,2948004,75335,4658,70676,3018681,581830.0,582781,951,2434947,2431554,3392,1024,0
ACV,2020,0,37974177,498768,498768,0,33185000,0,0,33185000,3810895,2317849,261069,0,0,0,1290932,-58955,0,356975,356975,0,122538,23383,23159,75995,0,0,18928112,277516,6300,0,0,0,0,271216,0,14336420,14333364,42891304,-28557940,0,0,0,3055,21823,-18767,0,0,0,1064574,0,1064574,2890880,0,2723868,184800,-17787,0,358721,302263,56457,0,0,0,56902290,19337072,3892509,823447,12927,91583,781357,191160,0,0,4205,1172275,247880,0,567672,0,0,15444563,0,0,0,0,0,0,77852,15345303,0,0,296,21110,0,37565218,37565218,21771732,21771732,0,14602,0,0,-2918,0,0,6034593,0,0,9705052,1647476,8057576,0,42155,0,0,0,56902290,2000260,2992133,41292,842181,-2370090,96219,0,3601996,1702598,134714,-1509549,4220,0,-96319,-902424,0,-272746,2662491,-2414386,303,-3886000,1622500,0,0,2416146,-2261435,0,-632,0,-245558,0,-3223,0,-249414,151640,349666,-2538,498768,7790879,23410,7767469,6378052,1389416,2231498,968296,96219,146910,146210,666030,1987287,13347,374,12972,2000260,267799.0,313256,45457,1641546,1647476,-5929,577,0
