stock_code,year,quarter,BS_100,BS_110,BS_111,BS_111.1,BS_111.2,BS_112,BS_113,BS_114,BS_115,BS_116,BS_117,BS_117.1,BS_117.2,BS_117.3,BS_117.4,BS_118,BS_119,BS_120,BS_121,BS_122,BS_129,BS_130,BS_131,BS_132,BS_133,BS_134,BS_135,BS_136,BS_137,BS_138,BS_139,BS_200,BS_210,BS_211,BS_212,BS_212.2,BS_212.3,BS_212.4,BS_220,BS_221,BS_222,BS_223a,BS_224,BS_225,BS_226,BS_227,BS_228,BS_229a,BS_230,BS_231,BS_232,BS_240,BS_250,BS_251,BS_252,BS_253,BS_254,BS_255,BS_256,BS_257,BS_270,BS_300,BS_310,BS_311,BS_312,BS_313,BS_314,BS_315,BS_316,BS_317,BS_318,BS_319,BS_320,BS_321,BS_322,BS_323,BS_324,BS_325,BS_326,BS_327,BS_328,BS_329,BS_330,BS_331,BS_340,BS_341,BS_346,BS_347,BS_348,BS_349,BS_350,BS_351,BS_352,BS_353,BS_354,BS_355,BS_356,BS_357,BS_400,BS_410,BS_411,BS_411.1,BS_411.1a,BS_411.1b,BS_411.2,BS_411.3,BS_411.4,BS_411.5,BS_412,BS_413,BS_414,BS_415,BS_416,BS_417,BS_417.1,BS_417.2,BS_418,BS_440,CF_001,CF_002,CF_003,CF_004,CF_005,CF_006,CF_007,CF_008,CF_010,CF_018,CF_030,CF_031,CF_032,CF_033,CF_034,CF_035,CF_036,CF_037,CF_039,CF_040,CF_041,CF_042,CF_043,CF_044,CF_045,CF_046,CF_047,CF_048,CF_050,CF_051,CF_052,CF_060,CF_061,CF_062,CF_063,CF_064,CF_065,CF_070,CF_071,CF_072,CF_073,CF_074,CF_075,CF_076,CF_080,CF_090,CF_101,CF_103,IS_001,IS_001.1,IS_001.2,IS_001.3,IS_002,IS_003,IS_004,IS_006,IS_007,IS_008,IS_009,IS_010,IS_011,IS_020,IS_021,IS_021.1,IS_021.2,IS_021.3,IS_022,IS_023,IS_024,IS_026,IS_027,IS_028,IS_029,IS_030,IS_031,IS_032,IS_040,IS_040.1,IS_041,IS_042,IS_043,IS_044,IS_050,IS_051,IS_052,IS_053,IS_054,IS_060,IS_061,IS_062,IS_071,IS_072,IS_080,IS_090,IS_091,IS_092,IS_100,IS_100.1,IS_100.2,IS_200,IS_201,IS_202,IS_203,IS_300,IS_400,IS_500,IS_501,IS_502
MBS,2015,0,2457696.612638,2437185.187606,256987.629168,231782.337168,25205.292,439763.854013,78216.789105,1097885.600756,202897.907399,-149763.09996,511196.507125,0.0,2750.083386,1915.138641,834.944745,1337.9194,631755.330173,0.0,0.0,327384.999566,-452031.8254,20511.425032,1231.19,302.279407,3548.575503,15053.0,0.0,0.0,0.0,376.380122,0.0,89586.435541,0.0,0.0,0.0,0.0,0.0,0.0,5485.051982,5449.829757,53063.051881,-47613.222124,0.0,0.0,0.0,35.222225,8150.151501,-8114.929276,0.0,0.0,0.0,0.0,84101.383559,196.926588,79142.483014,1805.54,2956.433957,0.0,0.0,0.0,2547283.048179,1238599.299069,872089.023798,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,2470.442418,0.0,3518.86493,1537.002,4493.348535,1376.79803,1084.031124,22293.97412,0.0,0.0,517593.829443,13917.661585,0.0,3803.071613,366510.275271,0.0,365814.541328,0.0,0.0,0.0,0.0,0.0,0.0,695.733943,0.0,0.0,0.0,0.0,1308683.74911,1308683.74911,1221242.8,1221242.8,1221242.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4163.663493,4153.679393,0.0,79123.606224,79123.606224,0.0,0.0,2547283.048179,9394.817449,52547.157092,3720.54434,48826.612752,0.0,0.0,0.0,0.0,55121.572974,0.0,-363117.679543,16395.015869,10112.70867,-470288.596328,78497.50945,0.0,-732.484714,67104.815293,-14452.038722,-12728.637028,29959.065937,4912.400896,0.0,-32617.420213,1200.709815,600.508725,-1692.531813,-406.897334,-38981.808046,0.0,0.0,-246054.132028,-2885.46928,31.472727,0.0,0.0,0.0,-2853.996553,0.0,0.0,899814.541328,-834000.0,0.0,0.0,65814.541328,-183093.587253,440081.216421,256987.629168,102484.246308,81503.470851,0.0,20980.775457,8370.896053,108547.201903,2825.094017,110750.71249,65.280201,0.0,6822.707637,6495.31818,43777.336041,390138.79283,-67090.428184,-11682.89267,-55121.572974,-285.96254,0.0,0.0,0.0,-1649.090674,-151035.010959,0.0,-5289.1337,-5698.972239,0.0,-19703.393113,-250466.028869,139672.763961,0.0,591.371776,0.0,0.0,591.371776,0.0,-86117.77653,0.0,-240.437158,-86358.213688,-1469.329767,-43689.409066,649.034233,-1.4,647.634233,9394.817449,0.0,9394.817449,-1138.5,-1138.5,0.0,8256.317449,8256.317449,0.0,0.0,0.0,8256.317449,0.0,58.0,0.0
MBS,2015,1,2699055.097331,0.0,970004.408741,911674.910966,58329.497775,515112.576333,0.0,0.0,0.0,-73186.430254,1503970.120105,0.0,0.0,0.0,0.0,611.87865,0.0,0.0,0.0,240440.945116,0.0,23959.926976,0.0,0.0,5265.002013,0.0,0.0,380.107763,0.0,18314.8172,0.0,357751.231107,0.0,0.0,262023.405181,0.0,0.0,3000.0,7666.636599,7400.350632,52933.658844,-45533.308212,0.0,0.0,0.0,266.285967,8150.151501,-7883.865534,0.0,0.0,0.0,0.0,88061.189327,0.0,81964.788782,2944.04,2956.433957,195.926588,0.0,0.0,3056806.328438,1750671.085135,1750186.799692,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,1121837.457253,0.0,1412.722763,1812.002,2829.502155,836.794911,0.0,14059.724089,0.0,0.0,0.0,3486.13974,0.0,24.043482,484.285443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.285443,0.0,0.0,0.0,0.0,1306135.243303,1306135.243303,0.0,1221242.8,1221242.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7491.711142,0.0,77400.732161,0.0,0.0,0.0,3056806.328438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13053.320768,0.0,0.0,0.0,0.0,0.0,5752527.865092999,-2736083.289285,-108139.623636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67500.0,-67500.0,0.0,0.0,0.0,-108139.623636,1078144.032377,970004.408741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20312.612927,0.0,670.0,1273.746702,0.0,22795.831538,48691.956109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40209.037444,8482.918665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7168.974548,31.472727,-1.4,30.072727,1344.016844,0.0,0.0,0.0,0.0,0.0,1344.016844,1344.016844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBS,2015,2,3177393.016811,0.0,1077291.179858,879953.770341,197337.409517,512960.370519,0.0,0.0,0.0,-96641.941293,1955872.326878,0.0,0.0,0.0,0.0,1285.02434,0.0,0.0,0.0,305668.246053,0.0,34549.231452,0.0,0.0,5192.690171,0.0,0.0,376.378781,0.0,28980.1625,0.0,347708.57849,0.0,0.0,254827.655731,0.0,0.0,3000.0,6961.705892,6778.965237,52833.366601,-46054.401364,0.0,0.0,0.0,182.740655,8150.151501,-7967.410846,0.0,0.0,0.0,0.0,85919.216867,0.0,80961.316322,1805.54,2956.433957,195.926588,0.0,0.0,3525101.5953009995,2196522.805217,1796038.519774,347500.0,0.0,0.0,0.0,0.0,0.0,0.0,1407068.830812,0.0,2732.295204,1957.002,5523.753926,1586.692934,0.0,19672.484578,0.0,0.0,0.0,3916.597038,0.0,4052.071613,400484.285443,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.285443,0.0,0.0,0.0,0.0,1328578.790084,1328578.790084,0.0,1221242.8,1221242.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3740.863521,3750.847621,99844.278942,0.0,0.0,0.0,3525101.5953009995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5861.111112,0.0,0.0,0.0,0.0,0.0,5594463.576533,-2224875.279966,-39351.35152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547500.0,-350000.0,0.0,0.0,197500.0,158148.64848,970004.408741,1128153.057221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25355.090762,0.0,812.613636,1627.705556,0.0,43381.516169,97108.016782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73499.669242,23608.34754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4337.493885,-1.399846,1.4,0.000154,27945.841579,0.0,0.0,0.0,-1138.5,0.0,26807.341579,26807.341579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBS,2015,3,2823688.161326,0.0,904720.120561,780633.243198,124086.877363,531330.337347,0.0,0.0,0.0,-96523.253819,1706007.309564,0.0,0.0,0.0,0.0,696.796942,0.0,0.0,0.0,247645.334522,0.0,26239.89788,0.0,0.0,7191.715493,0.0,0.0,376.378781,0.0,18671.803606,0.0,353399.851755,0.0,0.0,262252.655731,0.0,0.0,3000.0,6230.451617,6131.256276,52958.529001,-46827.272725,0.0,0.0,0.0,99.195341,8150.151501,-8050.95616,0.0,0.0,0.0,0.0,84916.744407,0.0,79957.843862,1805.54,2956.433957,196.926588,0.0,0.0,3177088.0130809997,1845955.504649,1449547.584998,319000.0,0.0,0.0,0.0,0.0,0.0,0.0,1076316.130605,0.0,1406.552803,1898.002,2832.369007,897.362912,0.0,27655.77405,0.0,0.0,0.0,4025.643483,0.0,3825.071613,396407.919651,395871.828008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.091643,0.0,0.0,0.0,0.0,1331132.508432,1331132.508432,0.0,1221242.8,1221242.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102397.99729,0.0,0.0,0.0,3177088.0130809997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4980.071666,0.0,0.0,0.0,0.0,0.0,6893731.125203,-3323143.61187,-194932.93666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,-47500.0,0.0,0.0,-28500.0,-223432.93666,1128153.057221,904720.120561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29529.059449,65.280201,1137.272727,1910.654337,0.0,33674.967427,73108.290688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63420.024009,9688.266679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7111.100329,0.000383,0.0,0.000383,2577.166733,0.0,0.0,0.0,0.0,0.0,2577.166733,2577.166733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBS,2015,4,2853994.682503,0.0,924623.350094,821201.268989,103422.081105,439763.854013,0.0,0.0,0.0,-141556.087015,1872028.517153,0.0,0.0,0.0,0.0,1337.9194,0.0,0.0,0.0,260046.056959,0.0,20216.74521,0.0,0.0,3548.575503,0.0,0.0,383.979707,0.0,16284.19,0.0,284277.329995,0.0,0.0,194690.894454,0.0,0.0,3000.0,5485.051982,5449.829757,53063.051881,-47613.222124,0.0,0.0,0.0,35.222225,8150.151501,-8114.929276,0.0,0.0,0.0,0.0,84101.383559,0.0,79142.483014,1805.54,2956.433957,196.926588,0.0,0.0,3138272.012498,1828611.786978,1462101.511707,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,1106816.548629,0.0,3518.86493,1537.002,4500.949461,1376.79803,0.0,23447.854938,0.0,0.0,0.0,14894.154761,0.0,3803.071613,366510.275271,365814.541328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.733943,0.0,0.0,0.0,0.0,1309660.22552,1309660.22552,0.0,1221242.8,0.0,1221242.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3740.863521,3750.847621,80925.714378,0.0,0.0,0.0,3138272.012498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8722.916667,0.0,0.0,0.0,0.0,0.0,9196131.709056,-3442775.675281,-250096.770467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670000.0,-400000.0,0.0,0.0,270000.0,19903.229533,904720.120561,924623.350094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35553.949352,0.0,3875.431817,2010.601042,0.0,58065.215965,171821.901027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117072.975195,54748.925832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76838.769713,617.560969,0.0,617.560969,-21472.282912,0.0,0.0,0.0,0.0,0.0,-21472.282912,-21472.282912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBS,2016,0,3322351.122795,3299128.277058,293049.710838,293049.710838,0.0,325437.673032,60999.039025,2019375.587655,313915.559574,-143731.791087,838424.810472,12600.0,9140.18557,3156.974991,5983.210579,1489.970079,597560.497382,0.0,0.0,322649.155962,-513357.310972,23222.845737,1684.39,962.262149,4557.057906,15064.0,0.0,381.64071,0.0,573.494972,0.0,196118.596011,101000.0,0.0,101000.0,0.0,0.0,0.0,12458.541905,12086.591902,57763.073251,-45676.481349,0.0,0.0,0.0,371.950003,2010.8333,-1638.883297,0.0,0.0,0.0,0.0,82660.054106,500.951588,75061.268561,1641.4,5456.433957,0.0,0.0,0.0,3518469.718806,2194292.794895,1864754.47514,399797.851686,399797.851686,0.0,0.0,0.0,0.0,0.0,2967.03332,0.0,3402.175244,1554.002,7360.455262,1249.318234,1260.527299,34956.726087,0.0,447.022592,1394080.117957,16817.949403,0.0,861.296056,329538.319755,0.0,329290.754255,0.0,0.0,0.0,0.0,0.0,247.5655,0.0,0.0,0.0,0.0,0.0,1324176.923911,1324176.923911,1221238.0143,1221242.8,1221242.8,0.0,0.0,0.0,0.0,-4.7857,0.0,0.0,4996.35574,4986.37164,0.0,92956.182231,92956.182231,0.0,0.0,3518469.718806,16817.984944,72135.105403,4249.075175,67886.030228,0.0,0.0,0.0,0.0,0.0,-6031.308873,-95430.200692,114326.180981,-83782.24992,-921489.986899,-111017.652175,-12600.0,-6390.102184,34194.832791,4735.843604,-10594.081029,67320.4724,2768.70705,0.0,-54657.720433,-268.740365,176.496175,2697.704798,-127.479796,879277.57431,0.0,0.0,-12508.419218,-11223.74473,0.0,0.0,0.0,1.179632,-11222.565098,0.0,-4.7857,735465.964046,-675668.11236,0.0,0.0,59793.065986,36062.08167,256987.629168,293049.710838,42664.417696,30561.798566,0.0,12102.61913,10993.252126,190502.588293,6188.934085,149051.553582,1012.193119,90.909091,7457.943114,46328.863636,57307.901132,511598.555874,-65486.205348,-71305.142517,6031.308873,-212.371704,0.0,0.0,0.0,-3202.590771,-152833.694005,0.0,-20573.038946,-6941.734097,0.0,-67877.574502,-316914.837669,194683.718205,0.0,2083.690733,0.0,0.0,2083.690733,0.0,-116206.925002,0.0,-4097.475145,-120304.400147,-1791.642913,-58313.417217,1051.818182,-591.781899,460.036283,16817.984944,0.0,16817.984944,-164.14,-164.14,0.0,16653.844944,16653.844944,0.0,0.0,0.0,16653.844944,0.0,136.0,0.0
MBS,2016,1,2788447.02174,2764013.263759,177413.816913,152208.524913,25205.292,449768.98845,0.0,1436270.697418,321331.263899,-133764.284214,1019376.506457,0.0,6609.056129,4470.209079,2138.84705,0.0,629031.132002,12404.316036,0.0,315488.285229,-450540.008103,24433.757981,2725.542858,494.954657,4005.458605,15063.0,0.0,0.0,0.0,2144.801861,0.0,91921.220546,0.0,0.0,0.0,0.0,0.0,0.0,6334.907531,6197.893642,54675.341281,-48477.447639,0.0,0.0,0.0,137.013889,8270.151501,-8133.137612,0.0,0.0,0.0,0.0,85586.313015,201.926588,78122.41247,1805.54,5456.433957,0.0,0.0,0.0,2880368.242286,1560548.240513,1116504.258397,349990.0,349990.0,0.0,0.0,0.0,0.0,0.0,2595.998767,0.0,430.982219,1591.002,4062.0832,3719.29307,1238.246749,27988.965027,12404.316036,0.0,708419.154641,3713.305075,0.0,350.911613,444043.982116,0.0,443348.248173,0.0,0.0,0.0,0.0,0.0,0.0,695.733943,0.0,0.0,0.0,0.0,1319820.001773,1319820.001773,1221242.8,1221242.8,1221242.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4163.663493,4153.679393,0.0,90259.858887,90259.858887,0.0,0.0,2880368.242286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13019.526706,0.0,0.0,0.0,0.0,0.0,1673017.58871,-1176706.217485,68339.390335,-1732.2894,0.0,0.0,0.0,0.0,-1732.2894,0.0,0.0,1139700.989129,-1285881.902319,0.0,0.0,-146180.91319,-79573.812255,256987.629168,177413.816913,13980.865723,11352.827823,0.0,2628.0379,0.0,36519.80878,0.0,28293.822815,0.0,6258.181818,1548.327145,0.0,856.290842,87457.297123,-33368.23994,-33323.002291,0.0,-45.237649,0.0,0.0,15998.815746,-647.850687,-25933.67128,0.0,-0.70668,-1477.492664,-1101.615095,1500.273023,-45030.487577,42426.809546,0.0,2224.867603,0.0,0.0,2224.867603,0.0,-15211.49492,0.0,-8370.735283,-23582.230203,-959.238221,-8973.946822,0.0,-0.00924,-0.00924,11136.252663,11136.252663,0.0,0.0,0.0,0.0,11136.252663,11136.252663,0.0,0.0,0.0,11136.252663,0.0,0.0,0.0
MBS,2016,2,2656689.774655,2626515.609874,41606.214321,41606.214321,0.0,296565.787536,61999.039025,1545090.659921,321340.559574,-136644.031144,986705.465699,0.0,6409.295583,3891.897385,2517.398198,0.0,619627.305236,0.0,0.0,319238.276929,-448717.497107,30174.164781,2475.222006,439.062277,4516.669902,15063.0,0.0,0.0,0.0,7680.210596,0.0,190661.16217,100000.0,0.0,100000.0,0.0,0.0,0.0,5796.205458,5318.349902,54309.915781,-48991.565879,0.0,0.0,0.0,477.855556,8672.751501,-8194.895945,0.0,0.0,0.0,0.0,84864.956712,500.951588,77102.031167,1805.54,5456.433957,0.0,0.0,0.0,2847350.936825,1528691.020147,1258646.76694,399972.32088,399972.32088,0.0,0.0,0.0,0.0,0.0,3082.07584,0.0,2461.925582,1509.002,5909.272493,1681.404427,1323.445554,17394.699402,0.0,0.0,820492.232258,3832.092448,0.0,988.296056,270044.253207,0.0,269796.687707,0.0,0.0,0.0,0.0,0.0,247.5655,0.0,0.0,0.0,0.0,0.0,1318659.916678,1318659.916678,1221239.8494,1221242.8,1221242.8,0.0,0.0,0.0,0.0,-2.9506,0.0,0.0,4163.663493,4153.679393,0.0,89102.724392,89102.724392,0.0,0.0,2847350.936825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-394388.257403,-402.6,0.0,0.0,0.0,12832.971341,12430.371341,0.0,-2.9506,-939748.668249,1185901.902319,0.0,0.0,246150.28347,-135807.602592,177413.816913,41606.214321,7525.054986,943.552996,0.0,6581.50199,0.0,41288.122799,6188.934085,34246.928942,1003.511219,15436.363636,1906.080379,0.0,3291.549861,110886.545907,10341.768642,-14338.01703,24707.248765,-27.463093,0.0,0.0,-15998.815746,-795.308313,-38659.940441,0.0,0.70668,-2061.46354,-8050.980816,-1825.988015,-68638.201498,42248.344409,0.0,4271.086066,0.0,0.0,4271.086066,0.0,-33963.924421,0.0,5388.588904,-28575.335517,303.938169,-18249.283179,0.0,0.0,0.0,-1.250052,-1.250052,0.0,0.0,0.0,0.0,-1.250052,-1.250052,0.0,0.0,0.0,-1.250052,0.0,0.0,0.0
MBS,2016,3,3069086.23777,3017676.240872,42462.377499,42462.377499,0.0,268508.818884,161999.039025,1862320.409212,313915.559574,-119677.183141,488147.219819,0.0,7969.525856,3161.173333,4808.352523,0.0,620310.093225,31676.383897,0.0,336257.980075,-508066.763234,51409.996898,4129.919557,365.582649,5031.411651,29353.0,0.0,0.0,0.0,12530.083041,0.0,91087.937303,0.0,0.0,0.0,0.0,0.0,0.0,7407.501894,6987.001892,54671.419851,-47684.417959,0.0,0.0,0.0,420.500002,8672.751501,-8252.251499,0.0,0.0,0.0,0.0,83680.435409,500.951588,76081.649864,1641.4,5456.433957,0.0,0.0,0.0,3160174.1750729997,1836263.032598,1515908.2382,409801.180276,409801.180276,0.0,0.0,0.0,0.0,0.0,3294.144205,0.0,3397.825344,1689.002,6372.7624,1898.053606,1457.699054,25021.292316,31676.383897,0.0,1026215.138497,4223.460549,0.0,861.296056,320354.794398,0.0,319747.019438,0.0,0.0,0.0,0.0,0.0,607.77496,0.0,0.0,0.0,0.0,0.0,1323911.142475,1323911.142475,1221238.5975,1221242.8,1221242.8,0.0,0.0,0.0,0.0,-4.2025,0.0,0.0,4163.663493,4153.679393,0.0,94355.202089,94355.202089,0.0,0.0,3160174.1750729997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074250.591099,-2340.99533,0.0,0.0,33298.148926,-12832.971341,18124.182255,0.0,0.2347,3744793.911923,-4836312.756799,0.0,0.0,-1091518.610176,856.163178,41606.214321,42462.377499,10673.88301,9475.3027,0.0,1198.58031,0.0,49797.559528,0.0,45786.051752,8.6819,0.0,1857.170043,7987.272727,33472.971455,149583.590415,-12726.890696,-12644.074657,0.0,-82.816039,0.0,0.0,5378.668054,-736.026749,-43560.731694,0.0,0.0,-1663.078363,-6501.132667,-47955.657564,-107764.849679,41818.740736,0.0,2983.779916,0.0,0.0,2983.779916,0.0,-29594.711093,0.0,-311.331731,-29906.042824,338.857758,-10279.943044,1051.818182,-590.593027,461.225155,5416.617697,5416.617697,0.0,-164.14,0.0,-164.14,5252.477697,5252.477697,0.0,0.0,0.0,5252.477697,0.0,0.0,0.0
MBS,2016,4,3457236.672696,3432523.85688,293049.710838,293049.710838,0.0,325437.673032,161999.039025,2019375.587655,313915.559574,-143731.791087,462478.077843,12600.0,9140.18557,3156.974991,5983.210579,0.0,597560.497382,33885.549901,0.0,322649.155962,-513357.310972,24712.815816,1684.39,962.262149,4557.057906,15064.0,0.0,0.0,0.0,2445.105761,0.0,95118.596011,0.0,0.0,0.0,0.0,0.0,0.0,12458.541905,12086.591902,57763.073251,-45676.481349,0.0,0.0,0.0,371.950003,2010.8333,-1638.883297,0.0,0.0,0.0,0.0,82660.054106,500.951588,75061.268561,1641.4,5456.433957,0.0,0.0,0.0,3552355.268707,2228178.344796,1898640.025041,399797.851686,399797.851686,0.0,0.0,0.0,0.0,0.0,2967.03332,0.0,3402.175244,1554.002,7360.455262,1249.318234,1260.527299,34956.726087,33885.549901,447.022592,1394080.117957,16817.949403,0.0,861.296056,329538.319755,0.0,329290.754255,0.0,0.0,0.0,0.0,0.0,247.5655,0.0,0.0,0.0,0.0,0.0,1324176.923911,1324176.923911,1221238.0143,1221242.8,1221242.8,0.0,0.0,0.0,0.0,-4.7857,0.0,0.0,4996.35574,4986.37164,0.0,92956.182231,92956.182231,0.0,0.0,3552355.268707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22208.096261,0.0,0.0,0.0,0.0,0.0,1793779.286348,-1840460.120893,552749.073629,-6487.3,0.0,0.0,-33298.148926,0.0,-39785.448926,0.0,-2.0698,2463314.476087,-2725688.697651,0.0,0.0,-262376.291364,250587.333339,42462.377499,293049.710838,10484.613977,8790.115047,0.0,1694.49893,2964.019691,62897.097186,0.0,40724.750073,0.0,0.0,2146.365547,16737.954546,19687.088974,155641.889994,-11056.903462,-11000.048539,0.0,-56.854923,0.0,0.0,-24054.607946,-1023.405022,-45421.193327,0.0,0.0,-1739.69953,-4916.232368,-8008.021997,-96220.063652,59421.826342,0.0,633.189583,0.0,0.0,633.189583,0.0,-37436.794568,0.0,-803.997035,-38240.791603,-729.821177,-20816.858877,0.0,-1.179632,-1.179632,266.364636,266.364636,0.0,0.0,0.0,0.0,266.364636,266.364636,0.0,0.0,0.0,266.364636,0.0,0.0,0.0
