ticker,yearReport,lengthReport,category,data
TCB,2024,2,Minority Interest,-76607000000.0
TCB,2024,2,Dividends received,58051000000.0
TCB,2024,2,Provision for credit losses,-1644213000000.0
TCB,2024,2,Revenue YoY (%),0.09652355381801987
TCB,2024,2,Revenue (Bn. VND),15348981000000.0
TCB,2024,2,Attribute to parent company (Bn. VND),6193361000000.0
TCB,2024,2,Attribute to parent company YoY (%),0.39018732653132226
TCB,2024,2,General & Admin Expenses,-3948974000000.0
TCB,2024,2,Interest and Similar Income,15348981000000.0
TCB,2024,2,Interest and Similar Expenses,-5871055000000.0
TCB,2024,2,Net Interest Income,9477926000000.0
TCB,2024,2,Fees and Comission Income,3189894000000.0
TCB,2024,2,Fees and Comission Expenses,-728422000000.0
TCB,2024,2,Net Fee and Commission Income,2461472000000.0
TCB,2024,2,Net gain (loss) from foreign currency and gold dealings,411351000000.0
TCB,2024,2,Net gain (loss) from trading of trading securities,103232000000.0
TCB,2024,2,Net gain (loss) from disposal of investment securities,646934000000.0
TCB,2024,2,Net Other income/(expenses),1967716000000.0
TCB,2024,2,Other expenses,-1706986000000.0
TCB,2024,2,Net Other income/expenses,260730000000.0
TCB,2024,2,Total operating revenue,13419696000000.0
TCB,2024,2,Operating Profit before Provision,9470722000000.0
TCB,2024,2,Profit before tax,7826509000000.0
TCB,2024,2,Tax For the Year,-1556541000000.0
TCB,2024,2,Business income tax - current,-1558837000000.0
TCB,2024,2,Business income tax - deferred,2296000000.0
TCB,2024,2,Net Profit For the Year,6269968000000.0
TCB,2024,2,Attributable to parent company,6193361000000.0
TCB,2024,1,Minority Interest,-56006000000.0
TCB,2024,1,Dividends received,37000000.0
TCB,2024,1,Provision for credit losses,-1210972000000.0
TCB,2024,1,Revenue YoY (%),0.056439078793245515
TCB,2024,1,Revenue (Bn. VND),14507238000000.0
TCB,2024,1,Attribute to parent company (Bn. VND),6220997000000.0
TCB,2024,1,Attribute to parent company YoY (%),0.38339832262038587
TCB,2024,1,General & Admin Expenses,-3249136000000.0
TCB,2024,1,Interest and Similar Income,14507238000000.0
TCB,2024,1,Interest and Similar Expenses,-6007694000000.0
TCB,2024,1,Net Interest Income,8499544000000.0
TCB,2024,1,Fees and Comission Income,2834555000000.0
TCB,2024,1,Fees and Comission Expenses,-663404000000.0
TCB,2024,1,Net Fee and Commission Income,2171151000000.0
TCB,2024,1,Net gain (loss) from foreign currency and gold dealings,544434000000.0
TCB,2024,1,Net gain (loss) from trading of trading securities,-23405000000.0
TCB,2024,1,Net gain (loss) from disposal of investment securities,1073030000000.0
TCB,2024,1,Net Other income/(expenses),1486753000000.0
TCB,2024,1,Other expenses,-1489777000000.0
TCB,2024,1,Net Other income/expenses,-3024000000.0
TCB,2024,1,Total operating revenue,12261767000000.0
TCB,2024,1,Operating Profit before Provision,9012631000000.0
TCB,2024,1,Profit before tax,7801659000000.0
TCB,2024,1,Tax For the Year,-1524656000000.0
TCB,2024,1,Business income tax - current,-1524069000000.0
TCB,2024,1,Business income tax - deferred,-587000000.0
TCB,2024,1,Net Profit For the Year,6277003000000.0
TCB,2024,1,Attributable to parent company,6220997000000.0
TCB,2023,4,Minority Interest,-42706000000.0
TCB,2023,4,Dividends received,23633000000.0
TCB,2023,4,Provision for credit losses,-1634295000000.0
TCB,2023,4,Revenue YoY (%),0.1791782866976995
TCB,2023,4,Revenue (Bn. VND),14444980000000.0
TCB,2023,4,Attribute to parent company (Bn. VND),4438909000000.0
TCB,2023,4,Attribute to parent company YoY (%),0.2524177038331144
TCB,2023,4,General & Admin Expenses,-3610089000000.0
TCB,2023,4,Interest and Similar Income,14444980000000.0
TCB,2023,4,Interest and Similar Expenses,-6847777000000.0
TCB,2023,4,Net Interest Income,7597203000000.0
TCB,2023,4,Fees and Comission Income,3203500000000.0
TCB,2023,4,Fees and Comission Expenses,-707749000000.0
TCB,2023,4,Net Fee and Commission Income,2495751000000.0
TCB,2023,4,Net gain (loss) from foreign currency and gold dealings,312534000000.0
TCB,2023,4,Net gain (loss) from trading of trading securities,32233000000.0
TCB,2023,4,Net gain (loss) from disposal of investment securities,247528000000.0
TCB,2023,4,Net Other income/(expenses),1224044000000.0
TCB,2023,4,Other expenses,-915472000000.0
TCB,2023,4,Net Other income/expenses,308572000000.0
TCB,2023,4,Total operating revenue,11017454000000.0
TCB,2023,4,Operating Profit before Provision,7407365000000.0
TCB,2023,4,Profit before tax,5773070000000.0
TCB,2023,4,Tax For the Year,-1291455000000.0
TCB,2023,4,Business income tax - current,-1295383000000.0
TCB,2023,4,Business income tax - deferred,3928000000.0
TCB,2023,4,Net Profit For the Year,4481615000000.0
TCB,2023,4,Attributable to parent company,4438909000000.0
TCB,2023,3,Minority Interest,-55762000000.0
TCB,2023,3,Dividends received,8450000000.0
TCB,2023,3,Provision for credit losses,-944972000000.0
TCB,2023,3,Revenue YoY (%),0.29163842198571
TCB,2023,3,Revenue (Bn. VND),14532716000000.0
TCB,2023,3,Attribute to parent company (Bn. VND),4612943000000.0
TCB,2023,3,Attribute to parent company YoY (%),-0.12929924427601083
TCB,2023,3,General & Admin Expenses,-3630731000000.0
TCB,2023,3,Interest and Similar Income,14532716000000.0
TCB,2023,3,Interest and Similar Expenses,-7260556000000.0
TCB,2023,3,Net Interest Income,7272160000000.0
TCB,2023,3,Fees and Comission Income,3008697000000.0
TCB,2023,3,Fees and Comission Expenses,-753037000000.0
TCB,2023,3,Net Fee and Commission Income,2255660000000.0
TCB,2023,3,Net gain (loss) from foreign currency and gold dealings,123789000000.0
TCB,2023,3,Net gain (loss) from trading of trading securities,-5587000000.0
