stock_code,category_code,year,quarter,data
BID,IS_001,2020,0,100687502
BID,IS_001,2021,0,101007908
BID,IS_001,2022,0,121110719
BID,IS_001,2023,0,152761316
BID,IS_010,2020,0,7992789
BID,IS_010,2021,0,8957444
BID,IS_010,2022,0,6526421
BID,IS_010,2023,0,6542525
BID,IS_011,2020,0,2900221
BID,IS_011,2021,0,2778592
BID,IS_011,2022,0,2316094
BID,IS_011,2023,0,4474726
BID,IS_012,2020,0,5092568
BID,IS_012,2021,0,6178852
BID,IS_012,2022,0,4210327
BID,IS_012,2023,0,2067799
BID,IS_013,2020,0,154267
BID,IS_013,2021,0,187622
BID,IS_013,2022,0,290952
BID,IS_013,2023,0,355275
BID,IS_014,2020,0,0
BID,IS_014,2021,0,0
BID,IS_014,2022,0,0
BID,IS_014,2023,0,25080598
BID,IS_015,2020,0,32344184
BID,IS_015,2021,0,43028568
BID,IS_015,2022,0,47024970
BID,IS_015,2023,0,47932419
BID,IS_016,2020,0,23317941
BID,IS_016,2021,0,29480917
BID,IS_016,2022,0,24015485
BID,IS_016,2023,0,20343515
BID,IS_017,2020,0,9026243
BID,IS_017,2021,0,13547651
BID,IS_017,2022,0,23009485
BID,IS_017,2023,0,27588904
BID,IS_018,2020,0,1799378
BID,IS_018,2021,0,2707403
BID,IS_018,2022,0,4604520
BID,IS_018,2023,0,5615711
BID,IS_019,2020,0,3300
BID,IS_019,2021,0,-1023
BID,IS_019,2022,0,-15049
BID,IS_019,2023,0,-3948
BID,IS_002,2020,0,64890703
BID,IS_002,2021,0,54184600
BID,IS_002,2022,0,65041035
BID,IS_002,2023,0,96625750
BID,IS_020,2020,0,0
BID,IS_020,2021,0,0
BID,IS_020,2022,0,0
BID,IS_020,2023,0,5611763
BID,IS_021,2020,0,7223565
BID,IS_021,2021,0,10841271
BID,IS_021,2022,0,18420014
BID,IS_021,2023,0,21977141
BID,IS_022,2020,0,226943
BID,IS_022,2021,0,301133
BID,IS_022,2022,0,261512
BID,IS_022,2023,0,472223
BID,IS_023,2020,0,1447
BID,IS_023,2021,0,1729
BID,IS_023,2022,0,3125
BID,IS_023,2023,0,3314
BID,IS_003,2020,0,35796799
BID,IS_003,2021,0,46823308
BID,IS_003,2022,0,56069684
BID,IS_003,2023,0,56135566
BID,IS_004,2020,0,8618090
BID,IS_004,2021,0,10370092
BID,IS_004,2022,0,10344181
BID,IS_004,2023,0,11893400
BID,IS_005,2020,0,3351709
BID,IS_005,2021,0,3755811
BID,IS_005,2022,0,4696116
BID,IS_005,2023,0,5323530
BID,IS_006,2020,0,5266381
BID,IS_006,2021,0,6614281
BID,IS_006,2022,0,5648065
BID,IS_006,2023,0,6569870
BID,IS_007,2020,0,1732324
BID,IS_007,2021,0,1896154
BID,IS_007,2022,0,3136613
BID,IS_007,2023,0,4707371
BID,IS_008,2020,0,478668
BID,IS_008,2021,0,586241
BID,IS_008,2022,0,-31664
BID,IS_008,2023,0,305396
BID,IS_009,2020,0,1516137
BID,IS_009,2021,0,207431
BID,IS_009,2022,0,258467
BID,IS_009,2023,0,2871740
CTG,IS_001,2020,0,83677717
CTG,IS_001,2021,0,84628302
CTG,IS_001,2022,0,104664634
CTG,IS_001,2023,0,132671737
CTG,IS_010,2020,0,2694931
CTG,IS_010,2021,0,4516269
CTG,IS_010,2022,0,7506525
CTG,IS_010,2023,0,7080218
CTG,IS_011,2020,0,785226
CTG,IS_011,2021,0,1118203
CTG,IS_011,2022,0,969157
CTG,IS_011,2023,0,1277142
CTG,IS_012,2020,0,1909705
CTG,IS_012,2021,0,3398066
CTG,IS_012,2022,0,6537368
CTG,IS_012,2023,0,5803076
CTG,IS_013,2020,0,524038
CTG,IS_013,2021,0,477382
CTG,IS_013,2022,0,512244
CTG,IS_013,2023,0,287268
CTG,IS_014,2020,0,16085348
CTG,IS_014,2021,0,17185850
CTG,IS_014,2022,0,19007454
CTG,IS_014,2023,0,20443499
CTG,IS_015,2020,0,29232086
CTG,IS_015,2021,0,35970782
CTG,IS_015,2022,0,45109236
CTG,IS_015,2023,0,50104666
CTG,IS_016,2020,0,12147237
CTG,IS_016,2021,0,18381626
CTG,IS_016,2022,0,24163177
CTG,IS_016,2023,0,25115141
CTG,IS_017,2020,0,17084849
CTG,IS_017,2021,0,17589156
CTG,IS_017,2022,0,20946059
CTG,IS_017,2023,0,24989525
CTG,IS_018,2020,0,3315063
CTG,IS_018,2021,0,3412160
CTG,IS_018,2022,0,4110614
CTG,IS_018,2023,0,4944844
CTG,IS_019,2020,0,12552
CTG,IS_019,2021,0,-38346
CTG,IS_019,2022,0,451
CTG,IS_019,2023,0,59
CTG,IS_002,2020,0,48096888
CTG,IS_002,2021,0,42839837
CTG,IS_002,2022,0,56872679
CTG,IS_002,2023,0,79714259
CTG,IS_020,2020,0,0
CTG,IS_020,2021,0,0
CTG,IS_020,2022,0,0
CTG,IS_020,2023,0,4944903
CTG,IS_021,2020,0,13757234
CTG,IS_021,2021,0,14215342
CTG,IS_021,2022,0,16834994
CTG,IS_021,2023,0,20044622
CTG,IS_022,2020,0,63646
CTG,IS_022,2021,0,126582
CTG,IS_022,2022,0,59920
CTG,IS_022,2023,0,141072
CTG,IS_023,2020,0,3678
CTG,IS_023,2021,0,3347
CTG,IS_023,2022,0,3491
CTG,IS_023,2023,0,3706
CTG,IS_003,2020,0,35580829
CTG,IS_003,2021,0,41788465
CTG,IS_003,2022,0,47791955
CTG,IS_003,2023,0,52957478
CTG,IS_004,2020,0,8342502
CTG,IS_004,2021,0,9572678
CTG,IS_004,2022,0,11549069
CTG,IS_004,2023,0,12384836
CTG,IS_005,2020,0,4001586
CTG,IS_005,2021,0,4612172
CTG,IS_005,2022,0,5687120
CTG,IS_005,2023,0,5271107
CTG,IS_006,2020,0,4340916
CTG,IS_006,2021,0,4960506
CTG,IS_006,2022,0,5861949
CTG,IS_006,2023,0,7113729
CTG,IS_007,2020,0,1999721
CTG,IS_007,2021,0,1812484
CTG,IS_007,2022,0,3555521
