symbol,sub_company_name,sub_own_percent
MSN,TCB,0.1488
FPT,TPB,0.0677
VIC,VHM,0.6934
VIC,VRE,0.1837
ACB,PXS,0.181
ACB,BTS,0.051
ACB,VOS,0.049
ACB,DVC,0.036
ACB,ALT,0.03
ACB,PVT,0.026
ACB,DPM,0.01
ACB,EIB,0.007
ACB,ITA,0.004
ACB,PSB,0.0
ACB,VBB,0.0
BCM,TDC,0.607
BCM,UDJ,0.51
BCM,IJC,0.498
BCM,TTN,0.486
BCM,BCE,0.444
BCM,BWE,0.194
BCM,ACC,0.0
BCM,BCP,0.0
BCM,BMJ,0.0
BID,BSI,0.52
BID,BIC,0.51
BID,ND2,0.052
BID,PVY,0.04
BID,DPM,0.037
BID,ASP,0.03
BID,IJC,0.024
BID,NT2,0.023
BID,HDB,0.011
BID,VCG,0.005
BID,CII,0.0
BID,PTL,0.0
BID,PGC,0.0
BVH,BVS,0.599
BVH,HES,0.194
BVH,TPB,0.1
BVH,VNR,0.092
BVH,HIG,0.088
BVH,TCT,0.066
BVH,GTA,0.06
BVH,CMG,0.038
BVH,SD5,0.01
BVH,VOS,0.007
BVH,VNG,0.0
BVH,PPC,0.0
BVH,SDT,0.0
BVH,VSH,0.0
BVH,BPC,0.0
BVH,MSB,0.0
BVH,SAB,0.0
CTG,CTS,0.756
CTG,SGP,0.091
CTG,TIS,0.035
CTG,BVB,0.0
CTG,SGB,0.0
FPT,FRT,0.465
FPT,FOX,0.457
FPT,FOC,0.239
FPT,FTS,0.179
GAS,CNG,0.56
GAS,PVB,0.529
GAS,PVG,0.513
GAS,PGD,0.505
GAS,PGS,0.353
GAS,SSB,0.015
GAS,PCG,0.0
GAS,PCT,0.0
GVR,RTB,0.985
GVR,BRR,0.975
GVR,MDF,0.849
GVR,RBC,0.691
GVR,PHR,0.666
GVR,GER,0.644
GVR,TRC,0.6
GVR,DPR,0.552
GVR,HRC,0.551
GVR,BRC,0.489
GVR,NTC,0.204
GVR,TL4,0.169
HDB,VJC,0.014
HDB,BTT,0.013
HDB,HCM,0.008
HDB,SHI,0.0
HDB,OGC,0.0
HDB,PTV,0.0
MBB,MBS,0.799
MBB,MIG,0.684
MBB,MSB,0.144
MBB,VFR,0.048
MBB,MRF,0.047
MBB,HNA,0.045
MBB,CTN,0.034
MBB,CEO,0.0
MSN,MSR,0.96
MSN,MCH,0.568
MSN,VCF,0.559
MSN,QHW,0.374
MSN,VSN,0.249
MSN,MML,0.0
MSN,MSN,0.0
MSN,CMF,0.0
MWG,TAG,0.993
PLX,PLC,0.791
PLX,VPA,0.58
PLX,PGC,0.524
PLX,PJC,0.511
PLX,PGI,0.41
PLX,PGB,0.406
PLX,VSE,0.224
PLX,BMF,0.083
PLX,PMS,0.0
PLX,PLA,0.0
PLX,PCC,0.0
PLX,PEQ,0.0
PLX,PIA,0.0
PLX,PTH,0.0
PLX,PTS,0.0
PLX,PSC,0.0
PLX,PJT,0.0
PLX,VIP,0.0
PLX,VTO,0.0
PLX,PEN,0.0
PLX,PIT,0.0
POW,HNA,0.807
POW,NT2,0.594
POW,PPS,0.51
POW,EIC,0.077
POW,PXC,0.065
POW,NED,0.0
POW,PVM,0.0
POW,SVH,0.0
POW,PPE,0.0
SAB,WSB,0.706
SAB,BSL,0.688
SAB,BSQ,0.666
SAB,SCD,0.621
SAB,SB1,0.547
SAB,BSH,0.521
SAB,BSD,0.512
SAB,SMB,0.322
SAB,BSP,0.27
SAB,SBB,0.164
SAB,SBL,0.102
SAB,PDC,0.098
SAB,IME,0.0
SAB,SHP,0.0
SHB,TTL,0.072
SHB,BHI,0.043
SHB,SHS,0.0
SSB,POB,0.09
SSB,VMG,0.084
SSB,BMS,0.05
SSB,VCG,0.009
SSB,PND,0.0
SSI,PAN,0.127
SSI,SSC,0.118
SSI,PID,0.063
SSI,DBC,0.05
SSI,TTP,0.05
SSI,ELC,0.05
SSI,PET,0.041
SSI,NBP,0.04
SSI,COM,0.036
SSI,GIL,0.03
SSI,VSH,0.03
SSI,HVG,0.029
SSI,DHC,0.026
SSI,DTL,0.026
SSI,NSC,0.025
SSI,CAD,0.018
SSI,LBM,0.016
SSI,LCG,0.014
SSI,VCS,0.014
SSI,TPB,0.012
SSI,PPI,0.01
SSI,VSP,0.006
SSI,OPC,0.004
SSI,PVD,0.004
SSI,HAG,0.004
SSI,TMS,0.002
SSI,TKC,0.002
SSI,BBC,0.0
SSI,TMT,0.0
SSI,LAF,0.0
SSI,PDN,0.0
SSI,SSI,0.0
SSI,VFG,0.0
SSI,DSG,0.0
SSI,VAF,0.0
SSI,SGN,0.0
SSI,DCS,0.0
SSI,TBC,0.0
SSI,ABT,0.0
SSI,PGB,0.0
STB,SBS,0.16
STB,NAS,0.107
STB,SPM,0.076
STB,JOS,0.064
STB,COM,0.053
STB,GEG,0.053
STB,HMC,0.038
STB,VTO,0.037
STB,HLA,0.029
STB,SWC,0.014
STB,LSS,0.003
STB,SCR,0.0
STB,CMX,0.0
STB,NBW,0.0
STB,LAI,0.0
STB,DLR,0.0
STB,DNT,0.0
STB,SSC,0.0
STB,SAV,0.0
STB,STG,0.0
STB,MRF,0.0
STB,SFC,0.0
TCB,VCG,0.004
TCB,HVN,0.0
TPB,ORS,0.09
TPB,LCG,0.014
TPB,EVE,0.0
VCB,PGI,0.08
VCB,EIB,0.045
VCB,MBB,0.044
VCB,HVN,0.01
VCB,PVD,0.002
VCB,OCB,0.0
VHM,VRE,0.0
VHM,VIC,0.0
VIB,GSP,0.033
VIB,PV2,0.032
VIB,VTC,0.026
VIB,PVX,0.019
VIB,VSH,0.005
VIB,PPC,0.0
VIB,PTI,0.0
VIB,VNE,0.0
VIC,VEF,0.833
VIC,VNB,0.653
VJC,SGN,0.091
VJC,OIL,0.048
VNM,VLC,0.689
VNM,MCM,0.089
VNM,SBT,0.048
VNM,SRF,0.004
VNM,TDW,0.0
VPB,SGP,0.074
VPB,FDC,0.0
