category_code,vi_caption,en_caption,report_type
BS_100,A. TÀI SẢN NGẮN HẠN,A. CURRENT ASSETS,balance_sheet
BS_110,I. Tài sản tài chính,I. Financial Assets,balance_sheet
BS_111,1. Tiền và các khoản tương đương tiền,1. Cash and cash equivalents,balance_sheet
BS_111.1,1.1. Tiền,1.1. Cash,balance_sheet
BS_111.2,1.2. Các khoản tương đương tiền,1.2. Cash equivalents,balance_sheet
BS_112,2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),2. Financial assets at fair value through profit or loss (FVTPL),balance_sheet
BS_113,3. Các khoản đầu tư giữ đến ngày đáo hạn (HTM),3. Held-to-maturity investments (HTM),balance_sheet
BS_114,4. Các khoản cho vay,4. Loans,balance_sheet
BS_115,5. Các tài sản tài chính sẵn sàng để bán (AFS),5. Available-for-sale financial assets (AFS),balance_sheet
BS_116,6. Dự phòng suy giảm giá trị các tài sản tài chính và tài sản thế chấp,6. Provision for impairment of financial assets and collateral,balance_sheet
BS_117,7. Các khoản phải thu,7. Receivables,balance_sheet
BS_117.1,7.1. Phải thu bán các tài sản tài chính,7.1. Receivables from sale of financial assets,balance_sheet
BS_117.2,"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",7.2. Dividends and interest receivables from financial assets,balance_sheet
BS_117.4,"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",7.2.2. Accrued dividends and interest not yet due,balance_sheet
BS_118,Trả trước cho người bán,Advances to suppliers,balance_sheet
BS_119,9. Phải thu các dịch vụ CTCK cung cấp,8. Receivables from securities services provided,balance_sheet
BS_120,10. Phải thu nội bộ,9. Internal receivables,balance_sheet
BS_121,11. Phải thu về lỗi giao dịch chứng khoán,10. Receivables from securities transaction errors,balance_sheet
BS_122,12. Các khoản phải thu khác,11. Other receivables,balance_sheet
BS_129,13. Dự phòng suy giảm giá trị các khoản phải thu (*),12. Provision for impairment of receivables (*),balance_sheet
BS_130,II.Tài sản ngắn hạn khác,II. Other Current Assets,balance_sheet
BS_131,1. Tạm ứng,1. Advances,balance_sheet
BS_132,"2. Vật tư văn phòng, công cụ, dụng cụ","2. Office supplies, tools, and instruments",balance_sheet
BS_133,3. Chi phí trả trước ngắn hạn,3. Short-term prepaid expenses,balance_sheet
BS_134,"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",4. Short-term deposits and collateral,balance_sheet
BS_135,5. Thuế giá trị gia tăng được khấu trừ,5. Deductible value-added tax (VAT),balance_sheet
BS_136,6. Thuế và các khoản khác phải thu Nhà nước,6. Taxes and other receivables from the government,balance_sheet
BS_137,5. Tài sản ngắn hạn khác,7. Other current assets,balance_sheet
BS_200,B.TÀI SẢN DÀI HẠN,B. NON-CURRENT ASSETS,balance_sheet
BS_210,I. Tài sản tài chính dài hạn,I. Long-term Financial Assets,balance_sheet
BS_212,2. Các khoản đầu tư,2. Investments,balance_sheet
BS_212.1,2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,2.1. Held-to-maturity investments (HTM),balance_sheet
BS_212.2,2.2. Đầu tư vào công ty con,2.2. Investments in subsidiaries,balance_sheet
BS_212.3,"2.3. Đầu tư vào công ty liên doanh, liên kết",2.3. Investments in joint ventures and associates,balance_sheet
BS_212.4,2.4. Đầu tư dài hạn khác,2.4. Other long-term investments,balance_sheet
BS_220,II. Tài sản cố định,II. Fixed Assets,balance_sheet
BS_221,1. Tài sản cố định hữu hình,1. Tangible fixed assets,balance_sheet
BS_222,- Nguyên giá,Original cost,balance_sheet
BS_223a,- Giá trị hao mòn lũy kế,Accumulated depreciation,balance_sheet
BS_227,3. Tài sản cố định vô hình,3. Intangible fixed assets,balance_sheet
BS_228,- Nguyên giá,Original cost,balance_sheet
BS_229a,- Giá trị hao mòn lũy kế,Accumulated depreciation,balance_sheet
BS_230,III. Bất động sản đầu tư,III. Investment Properties,balance_sheet
BS_231,- Nguyên giá,Original cost,balance_sheet
BS_2321,- Giá trị hao mòn lũy kế,Accumulated depreciation,balance_sheet
BS_240,IV. Chi phí xây dựng cơ bản dở dang,IV. Construction in Progress,balance_sheet
BS_250,V. Tài sản dài hạn khác,V. Other Long-term Assets,balance_sheet
BS_251,"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",1. Long-term deposits and collateral,balance_sheet
BS_252,2. Chi phí trả trước dài hạn,2. Long-term prepaid expenses,balance_sheet
BS_253,3. Tài sản thuế thu nhập hoãn lại,3. Deferred tax assets,balance_sheet
BS_254,4. Tiền nộp Quỹ Hỗ trợ thanh toán,4. Contributions to the Clearing Support Fund,balance_sheet
BS_255,5. Tài sản dài hạn khác,5. Other long-term assets,balance_sheet
BS_270,TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,balance_sheet
BS_300,C. NỢ PHẢI TRẢ,C. LIABILITIES,balance_sheet
BS_310,I. Nợ phải trả ngắn hạn,I. Current Liabilities,balance_sheet
BS_311,1. Vay và nợ thuê tài sản tài chính ngắn hạn,1. Short-term borrowings and financial lease liabilities,balance_sheet
BS_312,1.1. Vay ngắn hạn,1.1. Short-term borrowings,balance_sheet
BS_313,1.2. Nợ thuê tài sản tài chính ngắn hạn,1.2. Short-term financial lease liabilities,balance_sheet
BS_314,2. Vay tài sản tài chính ngắn hạn,2. Short-term financial borrowings,balance_sheet
BS_315,3. Trái phiếu chuyển đổi ngắn hạn,3. Convertible bonds - short term,balance_sheet
