map_24hmoney,category_code,vi_caption,en_caption,report_type
Doanh thu,IS_001,Doanh thu bán hàng và cung cấp dịch vụ,Revenue from Sales of Goods and Services,income_statement
Các khoản giảm trừ,IS_002,Các khoản giảm trừ doanh thu,Deductions from Revenue,income_statement
Doanh thu thuần,IS_010,Doanh thu thuần về bán hàng và cung cấp dịch vụ ,Net Revenue from Sales of Goods and Services,income_statement
Giá vốn hàng bán,IS_011,Giá vốn hàng bán,Cost of Goods Sold,income_statement
Lợi nhuận gộp,IS_020,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Gross Profit from Sales of Goods and Services,income_statement
Thu nhập tài chính,IS_021,Doanh thu hoạt động tài chính,Financial Income,income_statement
Chi phí tài chính,IS_022,Chi phí tài chính,Financial Expenses,income_statement
Chi phí tiền lãi,IS_023,Trong đó: Chi phí lãi vay,Including: Interest Expenses,income_statement
Lãi/lỗ từ công ty liên doanh,IS_024,"Phần lãi lỗ trong công ty liên doanh, liên kết",Share of Profit/Loss in Joint Ventures and Associates,income_statement
Chi phí bán hàng,IS_025,Chi phí bán hàng,Selling Expenses,income_statement
Chi phí quản lý doanh nghiệp,IS_026,Chi phí quản lý doanh nghiệp,General and Administrative Expenses,income_statement
Lãi/lỗ từ hoạt động kinh doanh,IS_030,Lợi nhuận thuần từ hoạt động kinh doanh,Net Operating Profit,income_statement
Thu nhập khác,IS_031,Thu nhập khác,Other Income,income_statement
Chi phí khác,IS_032,Chi phí khác,Other Expenses,income_statement
"Thu nhập khác, ròng",IS_040,Lợi nhuận khác,Other Profit,income_statement
LỢI NHUẬN TRƯỚC THUẾ,IS_050,Tổng lợi nhuận kế toán trước thuế,Total Accounting Profit before Tax,income_statement
Thuế thu nhập doanh nghiệp – hiện thời,IS_051,Chi phí thuế TNDN hiện hành,Current Corporate Income Tax Expense,income_statement
Thuế thu nhập doanh nghiệp – hoãn lại,IS_052,Chi phí thuế TNDN hoãn lại,Deferred Corporate Income Tax Expense,income_statement
LỢI NHUẬN SAU THUẾ TNDN,IS_060,Lợi nhuận sau thuế thu nhập doanh nghiệp,Profit after Corporate Income Tax,income_statement
Lợi ích của cổ đông thiểu số,IS_062, Lợi nhuận sau thuế công ty mẹ không kiểm soát,Profit After Tax Attributable to Non-controlling Interests,income_statement
Lợi nhuận của Cổ đông của Công ty mẹ,IS_061, Lợi nhuận sau thuế công ty mẹ,Profit After Tax Attributable to the Parent Company,income_statement
EPS Quý,IS_070,Lãi cơ bản trên cổ phiếu,Basic Earnings per Share (EPS),income_statement
TỔNG TÀI SẢN,BS_270,TỔNG CỘNG TÀI SẢN,Total Assets,balance_sheet
TÀI SẢN NGẮN HẠN,BS_100,TÀI SẢN NGẮN HẠN,Current Assets,balance_sheet
Tiền và tương đương tiền,BS_110,Tiền và các khoản tương đương tiền,Cash and Cash Equivalents,balance_sheet
Giá trị thuần đầu tư ngắn hạn,BS_120,Các khoản đầu tư tài chính ngắn hạn,Short-term Financial Investments,balance_sheet
Các khoản phải thu,BS_130,Các khoản phải thu ngắn hạn,Short-term Receivables,balance_sheet
"Hàng tồn kho, ròng",BS_140,Hàng tồn kho,Inventories,balance_sheet
Tài sản lưu động khác,BS_150,Tài sản ngắn hạn khác,Other Current Assets,balance_sheet
TÀI SẢN DÀI HẠN,BS_200,TÀI SẢN DÀI HẠN,Non-current Assets,balance_sheet
Phải thu dài hạn,BS_210,Các khoản phải thu dài hạn,Long-term Receivables,balance_sheet
Phải thu khách hang dài hạn,BS_211,Phải thu dài hạn của khách hàng,Long-term Trade Receivables,balance_sheet
Trả trước người bán dài hạn,BS_212,Trả trước cho người bán dài hạn,Long-term Prepayments to Suppliers,balance_sheet
Vốn kinh doanh ở các đơn vị trực thuộc,BS_213,Vốn kinh doanh ở đơn vị trực thuộc,Operating Capital in Subsidiaries,balance_sheet
Phải thu nội bộ dài hạn,BS_214,Phải thu nội bộ dài hạn,Long-term Internal Receivables,balance_sheet
Phải thu về cho vay dài hạn,BS_215,Phải thu về cho vay dài hạn,Long-term Loan Receivables,balance_sheet
Phải thu dài hạn khác,BS_216,Phải thu dài hạn khác,Other Long-term Receivables,balance_sheet
Dự phòng phải thu dài hạn,BS_219,Dự phòng phải thu dài hạn khó đòi,Provision for Doubtful Long-term Receivables,balance_sheet
Tài sản cố định,BS_220,Tài sản cố định,Fixed Assets,balance_sheet
Tài sản dở dang dài hạn,BS_240,Tài sản dở dang dài hạn,Long-term Work in Progress,balance_sheet
Đầu tư dài hạn,BS_250,Đầu tư tài chính dài hạn,Long-term Financial Investments,balance_sheet
Lợi thế thương mại,BS_269,Lợi thế thương mại,Goodwill,balance_sheet
Tài sản dài hạn khác,BS_260,Tài sản dài hạn khác,Other Non-current Assets,balance_sheet
TỔNG NGUỒN VỐN,BS_440,TỔNG CỘNG NGUỒN VỐN,Total Liabilities and Equity,balance_sheet
NỢ PHẢI TRẢ,BS_300,NỢ PHẢI TRẢ,Liabilities,balance_sheet
Nợ ngắn hạn,BS_310,Nợ ngắn hạn,Current Liabilities,balance_sheet
Nợ dài hạn,BS_330,Nợ dài hạn,Non-current Liabilities,balance_sheet
VỐN CHỦ SỞ HỮU,BS_400,VỐN CHỦ SỞ HỮU,Equity,balance_sheet
Vốn và các quỹ,BS_410,Vốn chủ sở hữu,Owner’s Equity,balance_sheet
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,BS_439,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Minority Interests,balance_sheet
Lãi trước thuế,CF_001,Lợi nhuận trước thuế,Profit before Tax,cash_flow_statement
Khấu hao TSCĐ,CF_002,Khấu hao TSCĐ và BĐSĐT,Depreciation of Fixed Assets and Investment Properties,cash_flow_statement
Chi phí dự phòng,CF_003,Các khoản dự phòng,Provisions,cash_flow_statement
Các khoản điều chỉnh khác,CF_007,Các khoản điều chỉnh khác,Other Adjustments,cash_flow_statement
Lãi/lỗ chênh lệch tỷ giá chưa thực hiện,CF_004,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ	",Gain/Loss from Exchange Rate Differences due to Revaluation of Foreign Currency Monetary Items,cash_flow_statement
Lãi/lỗ từ hoạt động đầu tư,CF_005,"Lãi, lỗ từ hoạt động đầu tư",Gain/Loss from Investment Activities,cash_flow_statement
Chi phí lãi vay,CF_006,Chi phí lãi vay,Interest Expense,cash_flow_statement
