stock_code,category_code,year,quarter,data
MWG,IS_001,2021,0,"124,141,525,689,948"
MWG,IS_001,2022,0,"134,722,248,887,557"
MWG,IS_001,2023,0,"119,234,184,825,086"
MWG,IS_002,2021,0,"1,183,419,586,774"
MWG,IS_002,2022,0,"1,317,471,297,033"
MWG,IS_002,2023,0,"954,396,369,644"
MWG,IS_010,2021,0,"122,958,106,103,174"
MWG,IS_010,2022,0,"133,404,777,590,524"
MWG,IS_010,2023,0,"118,279,788,455,442"
MWG,IS_011,2021,0,"95,325,974,107,640"
MWG,IS_011,2022,0,"102,542,735,094,343"
MWG,IS_011,2023,0,"95,759,175,291,712"
MWG,IS_020,2021,0,"27,632,131,995,534"
MWG,IS_020,2022,0,"30,862,042,496,181"
MWG,IS_020,2023,0,"22,520,613,163,730"
MWG,IS_021,2021,0,"1,287,956,026,163"
MWG,IS_021,2022,0,"1,313,137,304,323"
MWG,IS_021,2023,0,"2,166,963,715,091"
MWG,IS_022,2021,0,"714,707,225,745"
MWG,IS_022,2022,0,"1,382,620,454,532"
MWG,IS_022,2023,0,"1,556,146,106,982"
MWG,IS_023,2021,0,"-674,427,746,189"
MWG,IS_023,2022,0,"1,362,143,909,103"
MWG,IS_023,2023,0,"1,447,718,354,797"
MWG,IS_024,2021,0,"-2,210,500,486"
MWG,IS_024,2022,0,0
MWG,IS_024,2023,0,0
MWG,IS_025,2021,0,"17,914,173,302,345"
MWG,IS_025,2022,0,"22,336,838,067,678"
MWG,IS_025,2023,0,"20,916,710,755,306"
MWG,IS_026,2021,0,"3,823,390,074,765"
MWG,IS_026,2022,0,"1,881,027,579,714"
MWG,IS_026,2023,0,"1,167,651,662,536"
MWG,IS_030,2021,0,"6,465,606,918,356"
MWG,IS_030,2022,0,"6,574,693,698,580"
MWG,IS_030,2023,0,"1,047,068,353,997"
MWG,IS_031,2021,0,"54,872,797,433"
MWG,IS_031,2022,0,"61,606,712,681"
MWG,IS_031,2023,0,"36,883,419,051"
MWG,IS_032,2021,0,"48,895,965,246"
MWG,IS_032,2022,0,"579,945,037,703"
MWG,IS_032,2023,0,"394,259,405,152"
MWG,IS_040,2021,0,"5,976,832,187"
MWG,IS_040,2022,0,"-518,338,325,022"
MWG,IS_040,2023,0,"-357,375,986,101"
MWG,IS_050,2021,0,"6,471,583,750,543"
MWG,IS_050,2022,0,"6,056,355,373,558"
MWG,IS_050,2023,0,"689,692,367,896"
MWG,IS_051,2021,0,"1,632,975,695,694"
MWG,IS_051,2022,0,"1,792,998,810,102"
MWG,IS_051,2023,0,"433,257,176,515"
MWG,IS_052,2021,0,"-62,818,619,041"
MWG,IS_052,2022,0,"161,642,138,517"
MWG,IS_052,2023,0,"88,606,036,442"
MWG,IS_060,2021,0,"4,901,426,673,890"
MWG,IS_060,2022,0,"4,101,714,424,939"
MWG,IS_060,2023,0,"167,829,154,939"
MWG,IS_061,2021,0,"4,898,869,278,220"
MWG,IS_061,2022,0,"4,099,763,027,305"
MWG,IS_061,2023,0,"167,669,392,704"
MWG,IS_062,2021,0,"2,557,395,670"
MWG,IS_062,2022,0,"1,951,397,634"
MWG,IS_062,2023,0,"159,762,235"
MWG,IS_070,2021,0,"6,897"
MWG,IS_070,2022,0,"2,810"
MWG,IS_070,2023,0,115
MWG,IS_071,2021,0,"6,897"
MWG,IS_071,2022,0,"2,810"
MWG,IS_071,2023,0,115
VNM,IS_001,2021,0,"61,012,074,147,764"
VNM,IS_001,2022,0,"60,074,730,223,299"
VNM,IS_001,2023,0,"60,478,912,566,740"
VNM,IS_002,2021,0,"92,909,301,618"
VNM,IS_002,2022,0,"118,483,025,881"
VNM,IS_002,2023,0,"109,997,055,235"
VNM,IS_010,2021,0,"60,919,164,846,146"
VNM,IS_010,2022,0,"59,956,247,197,418"
VNM,IS_010,2023,0,"60,368,915,511,505"
VNM,IS_011,2021,0,"34,640,863,353,839"
VNM,IS_011,2022,0,"36,059,015,690,711"
VNM,IS_011,2023,0,"35,824,183,896,095"
VNM,IS_020,2021,0,"26,278,301,492,307"
VNM,IS_020,2022,0,"23,897,231,506,707"
VNM,IS_020,2023,0,"24,544,731,615,410"
VNM,IS_021,2021,0,"1,214,683,819,394"
VNM,IS_021,2022,0,"1,379,904,407,740"
VNM,IS_021,2023,0,"1,716,367,576,333"
VNM,IS_022,2021,0,"202,338,232,232"
VNM,IS_022,2022,0,"617,537,182,995"
VNM,IS_022,2023,0,"503,122,771,214"
VNM,IS_023,2021,0,"88,799,090,663"
VNM,IS_023,2022,0,"166,039,091,744"
VNM,IS_023,2023,0,"354,094,837,255"
VNM,IS_024,2021,0,"-45,044,429,889"
VNM,IS_024,2022,0,"-24,475,976,403"
VNM,IS_024,2023,0,"-80,631,298,646"
VNM,IS_025,2021,0,"12,950,670,402,404"
VNM,IS_025,2022,0,"12,548,212,246,871"
VNM,IS_025,2023,0,"13,018,093,111,879"
VNM,IS_026,2021,0,"1,567,312,426,985"
VNM,IS_026,2022,0,"1,595,845,681,078"
VNM,IS_026,2023,0,"1,755,619,128,197"
VNM,IS_030,2021,0,"12,727,619,820,191"
VNM,IS_030,2022,0,"10,491,064,827,100"
VNM,IS_030,2023,0,"10,903,632,881,807"
VNM,IS_031,2021,0,"422,823,192,290"
VNM,IS_031,2022,0,"289,021,799,127"
VNM,IS_031,2023,0,"353,408,891,551"
VNM,IS_032,2021,0,"228,207,525,562"
VNM,IS_032,2022,0,"284,551,949,482"
VNM,IS_032,2023,0,"289,142,381,872"
VNM,IS_040,2021,0,"194,615,666,728"
VNM,IS_040,2022,0,"4,469,849,645"
VNM,IS_040,2023,0,"64,266,509,679"
VNM,IS_050,2021,0,"12,922,235,486,919"
VNM,IS_050,2022,0,"10,495,534,676,745"
VNM,IS_050,2023,0,"10,967,899,391,486"
VNM,IS_051,2021,0,"2,320,981,674,175"
VNM,IS_051,2022,0,"1,956,248,296,285"
VNM,IS_051,2023,0,"1,948,363,404,628"
VNM,IS_052,2021,0,"-31,282,159,734"
VNM,IS_052,2022,0,"-38,288,939,248"
VNM,IS_052,2023,0,"181,821,807"
VNM,IS_060,2021,0,"10,632,535,972,478"
VNM,IS_060,2022,0,"8,577,575,319,708"
VNM,IS_060,2023,0,"9,019,354,165,051"
VNM,IS_061,2021,0,"10,532,477,099,899"
VNM,IS_061,2022,0,"8,516,023,694,342"
VNM,IS_061,2023,0,"8,873,812,416,864"
VNM,IS_062,2021,0,"100,058,872,579"
VNM,IS_062,2022,0,"61,551,625,366"
VNM,IS_062,2023,0,"145,541,748,187"
VNM,IS_070,2021,0,"4,517"
VNM,IS_070,2022,0,"3,632"
VNM,IS_070,2023,0,"3,796"
VNM,IS_071,2021,0,0
VNM,IS_071,2022,0,0
VNM,IS_071,2023,0,0
HPG,IS_001,2021,0,"150,865,359,967,200"
HPG,IS_001,2022,0,"142,770,810,676,858"
HPG,IS_001,2023,0,"120,355,231,616,139"
HPG,IS_002,2021,0,"1,185,569,987,855"
HPG,IS_002,2022,0,"1,361,536,216,226"
HPG,IS_002,2023,0,"1,402,203,722,485"
HPG,IS_010,2021,0,"149,679,789,979,345"
HPG,IS_010,2022,0,"141,409,274,460,632"
HPG,IS_010,2023,0,"118,953,027,893,654"
HPG,IS_011,2021,0,"108,571,380,446,353"
HPG,IS_011,2022,0,"124,645,848,221,080"
HPG,IS_011,2023,0,"106,015,187,198,082"
HPG,IS_020,2021,0,"41,108,409,532,992"
HPG,IS_020,2022,0,"16,763,426,239,552"
HPG,IS_020,2023,0,"12,937,840,695,572"
HPG,IS_021,2021,0,"3,071,440,640,188"
HPG,IS_021,2022,0,"3,743,650,707,331"
HPG,IS_021,2023,0,"3,173,086,404,949"
HPG,IS_022,2021,0,"3,731,542,257,873"
HPG,IS_022,2022,0,"7,026,723,285,241"
HPG,IS_022,2023,0,"5,191,511,844,389"
HPG,IS_023,2021,0,"2,525,823,258,237"
HPG,IS_023,2022,0,"3,083,638,131,818"
HPG,IS_023,2023,0,"3,585,077,683,881"
HPG,IS_024,2021,0,"4,465,302,865"
HPG,IS_024,2022,0,"-1,072,667,584"
HPG,IS_024,2023,0,0
HPG,IS_025,2021,0,"2,120,068,223,228"
HPG,IS_025,2022,0,"2,665,806,087,302"
HPG,IS_025,2023,0,"1,961,362,129,952"
HPG,IS_026,2021,0,"1,324,261,548,679"
HPG,IS_026,2022,0,"1,019,444,279,447"
HPG,IS_026,2023,0,"1,307,290,336,873"
HPG,IS_030,2021,0,"37,008,443,446,265"
HPG,IS_030,2022,0,"9,794,030,627,309"
HPG,IS_030,2023,0,"7,650,762,789,307"
HPG,IS_031,2021,0,"796,666,105,925"
HPG,IS_031,2022,0,"872,024,724,926"
HPG,IS_031,2023,0,"771,973,465,495"
HPG,IS_032,2021,0,"748,331,838,000"
HPG,IS_032,2022,0,"743,114,224,951"
HPG,IS_032,2023,0,"630,007,511,629"
